id,x0,x1,x2,x3,x4,x5,target
0,0.666564,-0.703100,0.600423,2.781347,-1.823025,-0.977751,1.170075
1,0.410850,0.237553,1.416291,-0.415087,-2.654839,-2.003650,6.418613
2,1.544441,1.079632,1.209174,-2.368438,-2.721531,2.591436,6.396245
3,-0.469924,-2.796927,-1.681016,-0.061220,-1.061195,-2.380599,5.328720
4,1.959371,-2.232054,-1.799888,-1.979580,2.352086,1.432157,8.278399
5,1.667411,-2.553689,-2.207690,-2.014430,-1.133892,-2.197322,9.218765
6,-2.053462,-2.740323,-0.903409,-2.332389,-2.069703,1.556980,2.958930
7,-1.631003,-0.223575,1.148400,1.168164,2.090580,2.118754,2.079949
8,-0.541998,-1.076317,2.419889,-2.574111,1.830981,1.638137,6.612418
9,2.371014,1.293853,1.561602,1.964080,1.431376,0.844213,6.671804
10,-0.308963,1.839162,-0.311691,-0.889202,-0.615048,0.281220,4.304702
11,2.925537,-2.661923,-2.711848,-2.625020,-1.705990,0.137200,11.527983
12,-1.626119,-1.638037,2.144646,-1.266900,1.365339,1.647555,4.098284
13,-0.461099,-2.848452,-1.036731,0.818063,-0.166267,2.869398,3.175816
14,-1.285274,-2.335783,-2.401500,-0.125062,-1.172994,-2.856299,5.505169
15,-0.360420,-1.422304,1.630595,1.420365,-2.513424,0.020991,1.651426
16,-0.078119,-0.769032,-0.043386,0.784748,-0.800260,-1.962217,1.596018
17,-2.441278,-2.833305,-2.798088,0.569591,2.764053,2.086687,6.482549
18,2.175966,-2.665526,0.319969,-0.222572,1.938789,2.551886,6.847415
19,-1.169406,2.788565,0.381683,1.243310,-1.277717,0.352035,0.386724
20,2.405280,-1.139720,-0.657382,-2.947340,0.531589,2.982809,6.445934
21,1.517786,-2.674621,1.765150,2.785784,-1.507695,-2.554234,5.397412
22,-0.366007,-1.387823,-2.657307,-2.779574,-2.484042,1.095482,6.104580
23,0.256165,-0.886815,2.819769,-0.186951,-0.053825,1.526020,6.036928
24,1.654684,-0.117994,-1.999849,-0.246821,-0.625758,1.862703,6.156379
25,-1.450774,-2.028223,0.064070,2.005233,-0.228961,0.205653,-0.396289
26,-1.330368,2.264404,-2.633797,1.474577,0.040044,1.610558,4.530243
27,-1.954038,-2.055447,1.369630,1.463532,-1.327035,-2.915991,1.488812
28,1.597138,1.755177,1.977812,1.466326,-1.114391,-0.607582,6.596992
29,2.386755,0.385955,-1.600208,2.736765,-1.957535,-0.805272,5.580099
30,2.593001,0.705302,0.739816,0.056097,1.209088,1.618504,7.168526
31,0.161533,-1.128579,-1.515274,1.885004,0.879717,-1.203963,1.316630
32,-2.392553,-1.678529,2.074597,1.308430,-0.475796,1.992577,0.699291
33,-1.582877,-0.801642,-1.748739,-2.332017,-0.258829,0.997279,3.463459
34,1.588196,-1.900241,-2.428257,1.026562,-1.351955,-2.239434,6.545119
35,-0.751779,1.843889,-2.567837,0.527001,0.064610,-2.038147,6.167153
36,-2.038405,1.623223,-1.187116,2.340633,0.728348,1.038652,1.621968
37,0.048775,-0.172852,-1.386631,-1.170648,2.059944,-0.862437,4.068630
38,-0.010688,0.568999,-0.914739,-2.521607,-0.037583,2.110517,6.097741
39,2.688699,0.500431,-0.695489,-2.002368,0.723126,0.919472,8.077449
40,-1.148756,-1.029339,-2.354506,-2.074976,-0.818540,2.359664,4.345301
41,-0.432709,1.654180,-1.672472,-0.038032,-1.577789,1.244237,4.716305
42,-2.719701,-1.202055,0.979148,-0.567032,-2.651619,1.798796,-1.163827
43,-2.720657,-0.067161,1.545315,1.290686,-2.920429,2.311196,-0.967571
44,2.342496,-1.682307,-2.115420,1.610836,-0.463742,0.593190,5.006880
45,-2.316466,0.440721,1.800080,-2.648941,-1.757145,-0.075423,5.181659
46,0.321525,2.505399,1.867028,0.690496,-0.401065,0.397114,4.347867
47,0.937434,2.298060,1.335329,0.107444,0.074918,-2.803903,4.822423
48,-0.498172,-2.290110,2.488131,1.241112,-2.444747,1.808593,3.443683
49,1.783699,-0.447028,1.422250,0.018049,1.009403,-2.593522,4.181052
50,2.634796,-1.813183,2.889532,2.744359,1.572832,-2.069431,5.822231
51,2.880644,0.964716,2.128130,2.355134,1.185234,0.900091,7.805549
52,-0.927196,0.407536,-2.543172,-0.518714,-2.288582,2.526245,5.024607
53,0.118979,-1.269141,-1.068699,-2.006907,-2.299844,-2.149122,4.923012
54,0.730856,1.347558,-2.396261,-2.372076,2.993640,-2.885670,7.406716
55,-2.558756,-2.425621,-2.765461,-0.600542,-2.023264,-0.598215,5.260373
56,-0.367659,-2.398691,1.534192,0.839277,-2.498080,0.631268,2.831636
57,-2.450394,2.667436,-0.253910,-1.519930,1.462925,2.633467,2.405516
58,1.634390,0.439201,-2.492803,-0.290907,2.573752,1.493248,9.499051
59,-0.231006,-1.724196,-2.399124,0.677910,-2.459331,-1.745169,5.171664
60,0.001678,0.465137,-1.208644,-2.717671,-2.465572,-0.352583,6.647516
61,-1.811414,0.937765,-1.613318,1.079739,0.788202,-2.634501,2.710480
62,0.480227,1.992616,-2.225839,-2.353287,-2.193998,0.204195,8.177870
63,-0.646729,-2.357667,0.711754,2.490892,-2.008598,1.606960,0.013512
64,-0.777629,2.073442,0.626162,2.422689,-1.448380,0.311610,1.291513
65,-0.032926,2.871419,0.277026,-2.708037,-2.556654,-0.658733,4.545042
66,-0.286929,2.955516,1.525881,1.991640,-1.801444,-2.926864,2.927395
67,0.758064,-0.015664,-1.854094,2.990312,-0.962146,2.246173,2.739078
68,-1.461209,0.731230,1.107319,1.465607,-2.639752,-2.259795,3.902658
69,-0.642395,-1.150267,2.900429,-0.509310,1.682591,0.702123,5.883936
70,0.894222,1.467010,-2.347019,-1.049507,-1.423748,1.573940,8.055046
71,2.219900,-2.611135,1.219162,-0.207965,-1.401026,0.054239,6.217940
72,1.541234,1.248962,2.733436,1.155041,-1.351643,2.682285,7.806091
