wavelength,intensity
0.000000,0.459386
0.020000,0.459542
0.040000,0.459699
0.060000,0.459856
0.080000,0.460014
0.100000,0.460173
0.120000,0.460333
0.140000,0.460493
0.160000,0.460654
0.180000,0.460815
0.200000,0.460978
0.220000,0.461141
0.240000,0.461304
0.260000,0.461469
0.280000,0.461634
0.300000,0.461799
0.320000,0.461966
0.340000,0.462133
0.360000,0.462301
0.380000,0.462470
0.400000,0.462639
0.420000,0.462810
0.440000,0.462981
0.460000,0.463152
0.480000,0.463325
0.500000,0.463498
0.520000,0.463672
0.540000,0.463847
0.560000,0.464022
0.580000,0.464198
0.600000,0.464376
0.620000,0.464553
0.640000,0.464732
0.660000,0.464912
0.680000,0.465092
0.700000,0.465273
0.720000,0.465455
0.740000,0.465638
0.760000,0.465821
0.780000,0.466006
0.800000,0.466191
0.820000,0.466377
0.840000,0.466564
0.860000,0.466752
0.880000,0.466940
0.900000,0.467130
0.920000,0.467320
0.940000,0.467512
0.960000,0.467704
0.980000,0.467897
1.000000,0.468091
1.020000,0.468286
1.040000,0.468481
1.060000,0.468678
1.080000,0.468875
1.100000,0.469074
1.120000,0.469273
1.140000,0.469474
1.160000,0.469675
1.180000,0.469877
1.200000,0.470080
1.220000,0.470285
1.240000,0.470490
1.260000,0.470696
1.280000,0.470903
1.300000,0.471111
1.320000,0.471320
1.340000,0.471530
1.360000,0.471741
1.380000,0.471953
1.400000,0.472166
1.420000,0.472380
1.440000,0.472596
1.460000,0.472812
1.480000,0.473029
1.500000,0.473247
1.520000,0.473467
1.540000,0.473687
1.560000,0.473909
1.580000,0.474131
1.600000,0.474355
1.620000,0.474580
1.640000,0.474806
1.660000,0.475033
1.680000,0.475261
1.700000,0.475490
1.720000,0.475720
1.740000,0.475952
1.760000,0.476185
1.780000,0.476418
1.800000,0.476653
1.820000,0.476890
1.840000,0.477127
1.860000,0.477366
1.880000,0.477605
1.900000,0.477847
1.920000,0.478089
1.940000,0.478332
1.960000,0.478577
1.980000,0.478823
2.000000,0.479070
2.020000,0.479319
2.040000,0.479568
2.060000,0.479819
2.080000,0.480072
2.100000,0.480325
2.120000,0.480580
2.140000,0.480837
2.160000,0.481094
2.180000,0.481353
2.200000,0.481613
2.220000,0.481875
2.240000,0.482138
2.260000,0.482403
2.280000,0.482668
2.300000,0.482936
2.320000,0.483204
2.340000,0.483474
2.360000,0.483746
2.380000,0.484019
2.400000,0.484293
2.420000,0.484569
2.440000,0.484846
2.460000,0.485125
2.480000,0.485405
2.500000,0.485687
2.520000,0.485971
2.540000,0.486255
2.560000,0.486542
2.580000,0.486830
2.600000,0.487119
2.620000,0.487411
2.640000,0.487703
2.660000,0.487998
2.680000,0.488294
2.700000,0.488591
2.720000,0.488890
2.740000,0.489191
2.760000,0.489494
2.780000,0.489798
2.800000,0.490104
2.820000,0.490412
2.840000,0.490721
2.860000,0.491032
2.880000,0.491345
2.900000,0.491660
2.920000,0.491976
2.940000,0.492294
2.960000,0.492614
2.980000,0.492936
3.000000,0.493260
3.020000,0.493585
3.040000,0.493913
3.060000,0.494242
3.080000,0.494573
3.100000,0.494906
3.120000,0.495241
3.140000,0.495578
3.160000,0.495917
3.180000,0.496258
3.200000,0.496601
3.220000,0.496946
3.240000,0.497293
3.260000,0.497642
3.280000,0.497993
3.300000,0.498346
3.320000,0.498701
3.340000,0.499058
3.360000,0.499418
3.380000,0.499779
3.400000,0.500143
3.420000,0.500509
3.440000,0.500877
3.460000,0.501247
3.480000,0.501620
3.500000,0.501995
3.520000,0.502372
3.540000,0.502751
3.560000,0.503133
3.580000,0.503517
3.600000,0.503903
3.620000,0.504292
3.640000,0.504683
3.660000,0.505077
3.680000,0.505473
3.700000,0.505871
3.720000,0.506272
3.740000,0.506676
3.760000,0.507082
3.780000,0.507490
3.800000,0.507902
3.820000,0.508315
3.840000,0.508732
3.860000,0.509150
3.880000,0.509572
3.900000,0.509996
3.920000,0.510423
3.940000,0.510853
3.960000,0.511286
3.980000,0.511721
4.000000,0.512159
4.020000,0.512600
4.040000,0.513044
4.060000,0.513490
4.080000,0.513940
4.100000,0.514393
4.120000,0.514848
4.140000,0.515306
4.160000,0.515768
4.180000,0.516233
4.200000,0.516700
4.220000,0.517171
4.240000,0.517645
4.260000,0.518122
4.280000,0.518602
4.300000,0.519086
4.320000,0.519572
4.340000,0.520062
4.360000,0.520556
4.380000,0.521052
4.400000,0.521552
4.420000,0.522056
4.440000,0.522563
4.460000,0.523073
4.480000,0.523587
4.500000,0.524104
4.520000,0.524625
4.540000,0.525150
4.560000,0.525678
4.580000,0.526210
4.600000,0.526746
