tenure,host_calls,usage_mb,direct_orders,region_seats,partner_visits,plan_years,promo_engaged,driver_price,churn
-1.109718,0.584587,0.506863,2.422873,0.360807,0.277206,-1.112989,-1.173489,-0.849218,1
-1.630150,2.412510,0.811982,0.025263,-0.800064,1.038856,-0.430030,2.166298,-0.509179,1
-0.689560,1.376012,2.086637,0.364492,0.206107,1.122449,-0.894758,2.094041,-0.462674,1
-0.453382,-0.276690,0.115058,-0.517894,2.400772,0.881097,-0.892955,0.975241,-2.396017,1
1.187054,1.925001,1.908901,-0.627507,-0.933366,0.668993,1.830475,0.951298,-1.202649,1
-2.350910,-0.549675,1.260298,-0.379946,-0.117969,0.438085,0.829127,-1.975117,-2.564935,1
-0.071738,0.128193,-1.159223,-1.101835,-1.519291,0.779366,1.277562,1.466496,-1.980868,1
-0.705009,0.608158,-0.091575,-1.039902,1.182308,1.577311,-1.549657,1.726286,-2.263138,1
-0.903596,-0.468909,1.238725,0.484373,-1.515607,-1.275965,0.850782,1.599950,-1.068531,1
-0.860759,1.886420,-0.408468,-0.202565,0.880333,-0.368597,0.441146,0.244250,-1.259943,1
1.367316,-0.397203,0.853456,-1.222777,0.939584,0.157451,1.923211,-0.193525,-3.493191,1
-1.192559,0.192153,-1.429507,0.110477,1.150631,-0.617506,-1.047021,-1.271627,-1.183671,1
-0.772658,0.278737,0.132968,-0.631156,-0.620345,-0.803085,0.706336,-0.671041,-1.344631,1
0.193921,-0.547034,-0.364595,-0.228119,1.146625,-0.075009,-2.052128,0.724046,0.958187,1
-0.732806,-0.759858,0.857668,0.866687,-0.511521,-1.313047,-0.677303,0.226911,-1.187757,1
-0.287466,-0.140995,-0.430280,0.296685,0.417415,-1.890904,0.409214,0.984802,-0.783571,1
0.161733,-0.189558,-0.358641,-0.159236,1.746615,-1.115665,0.251368,1.320664,-0.948303,1
1.012467,-0.449816,-2.517358,1.904495,-0.561519,1.130503,-0.228294,1.197989,-0.467418,1
0.880568,0.559639,-0.925008,1.375439,-0.551547,0.023798,0.422109,-1.124805,-3.151581,1
1.326875,-0.601017,-1.275758,0.217453,0.062472,0.896976,-3.108109,-0.722836,-0.051630,1
0.869084,0.159743,0.635806,-0.313652,0.799273,-1.848657,-0.879326,-0.425430,-0.538466,1
1.126738,0.473641,1.181210,0.350472,-0.561193,0.632596,-0.206676,-2.567037,-0.678849,1
-0.648167,-0.242228,-1.060117,-0.221809,0.746884,-0.150835,-2.574210,1.477130,-1.405530,1
0.744856,0.736103,-0.946476,-0.149697,0.058581,0.356410,1.413399,-1.844984,-1.587461,1
-0.948045,1.502472,-0.590060,-1.912045,-0.023367,-1.191724,-0.791948,0.695275,-0.651369,1
0.433799,1.051123,1.268503,0.493616,1.339712,0.068463,-1.448878,1.722378,-1.319633,1
0.355211,-1.135370,1.242399,0.132600,1.746423,-0.310867,-0.003176,0.018472,-2.222819,1
-0.676701,-0.184197,-0.565043,1.002852,-0.306360,0.182164,0.420825,0.329822,-2.308562,1
1.511995,0.259322,0.455161,0.304387,-0.464946,1.462162,-0.722935,-1.263556,-3.229909,1
1.105644,-1.741151,-0.711301,1.075242,-1.047951,-1.180642,0.624332,0.019280,-2.068590,1
-0.773894,-0.892162,-2.285486,-0.659426,0.673875,-1.145200,0.148206,0.286661,-2.020572,1
