flow_rate,pressure_kpa,vibration_mm,temp_c,fault
0.487,-1.831,2.792,2.544,1
0.981,-1.713,-1.67,-1.269,0
-1.726,2.827,-2.578,-1.84,0
1.619,-0.801,-0.17,-1.044,1
-0.577,-1.75,-0.419,-1.174,0
1.94,1.081,0.989,2.295,1
-0.724,-0.462,-0.573,1.014,0
-0.215,0.211,-0.927,-2.869,0
-2.943,0.386,-2.08,-2.793,0
-2.606,-2.095,1.109,1.37,1
0.914,-0.149,-0.009,2.255,1
2.22,1.146,1.101,-2.964,1
-2.808,-0.925,2.677,2.254,1
-2.287,1.234,1.647,1.856,1
-2.158,-1.927,1.755,1.429,1
-0.321,2.337,-2.164,2.743,0
-0.975,-2.595,0.291,1.135,1
-2.655,-1.328,1.947,-2.456,1
-1.5,-1.773,-2.327,2.886,0
-1.085,-2.426,0.92,2.325,1
0.798,2.14,-0.247,0.416,0
-1.569,-1.361,0.962,0.314,1
-0.994,2.622,-1.271,1.073,0
-0.595,-2.674,-1.678,-2.602,0
-2.277,-0.945,-0.78,-0.316,0
1.06,1.123,-0.814,0.977,0
-2.235,0.275,-1.09,1.055,0
-1.556,-0.389,-0.271,-1.219,0
-2.702,2.957,1.44,-0.367,0
-1.386,1.262,2.705,1.639,1
2.901,2.533,-2.651,-0.529,0
-1.355,0.699,-2.139,1.483,0
-2.631,1.153,-1.404,0.83,0
2.86,1.788,-0.966,1.38,1
1.282,-0.497,-1.409,-1.569,0
1.778,-2.423,-1.606,-1.846,0
1.38,0.524,0.989,2.401,1
-2.773,-1.864,0.099,1.292,0
0.067,-1.639,0.556,2.608,1
2.586,2.423,0.461,-0.114,1
-2.337,-2.754,0.668,1.276,1
0.615,2.963,-0.583,-2.197,0
-1.271,0.185,2.917,-1.217,1
1.339,-0.669,0.35,-2.091,1
2.516,1.531,2.614,-1.005,1
-1.171,2.387,-0.183,-1.798,0
-2.015,-0.366,2.554,2.303,1
1.537,-1.855,1.665,-1.656,1
-2.799,2.354,-2.229,0.556,0
0.864,1.094,-0.784,1.754,0
