v0,v1,v2,v3,v4,v5
2.975910,3.472397,-2.558725,0.705289,-0.131886,-2.347128
1.745550,0.972151,-1.729776,-0.454994,-1.192236,-1.872405
2.194361,4.126863,-2.117434,0.422014,-0.201272,-4.229708
1.304135,1.286018,-1.226389,0.408589,-0.965263,-1.361090
1.419237,1.516444,-0.988206,0.591457,0.925812,0.759698
5.996546,3.178343,-3.704483,-0.013240,-1.013105,-2.179364
1.566039,3.098760,0.282916,4.044216,3.649039,1.813680
3.097896,1.069186,-2.093938,-0.772573,-0.923872,-2.096535
3.386264,4.005258,-3.862471,0.378179,-0.144249,-2.653536
2.302034,3.669611,-1.555285,1.652998,2.464105,0.966559
1.744843,3.211680,-2.329945,1.154150,2.276730,1.235659
1.820770,2.073187,-2.354356,0.152895,0.507574,0.400304
-0.427236,0.065733,-0.327121,1.279707,3.066816,2.688863
-0.426269,-0.279993,-0.359954,-0.456792,0.363559,0.493809
0.586917,-0.385193,-2.055477,-1.346413,-2.032930,0.162939
0.871848,1.492190,0.382470,0.187696,-0.369358,-2.317467
1.663710,2.177078,-1.073159,0.611704,-0.593580,-1.788510
3.909561,2.577783,-3.504293,0.703926,0.069777,-1.713702
0.222278,-0.213464,-0.817478,-0.213123,-1.675100,-1.752943
-0.176112,1.036519,-0.421632,0.220845,1.236079,1.040939
3.677099,4.117734,-1.899298,2.683106,3.541323,2.200832
2.341313,1.385452,-2.840233,-0.949370,-1.561537,-1.644985
-0.599756,2.652725,0.475539,3.943110,3.961791,2.945059
2.792689,3.136841,-2.253367,0.218714,-0.698326,-1.439795
2.515073,0.716262,-2.209838,0.147926,-1.869602,-1.262304
2.098139,2.720361,-0.807353,1.472728,1.101094,-1.088643
0.547249,-0.537780,-1.363167,-2.431840,-3.405276,-2.949478
1.119292,1.843815,-0.974950,0.248263,0.539177,0.797855
-0.344858,-0.471081,-0.446761,-0.433458,0.309416,-0.641892
2.707261,4.742047,-0.710529,2.250405,1.240090,0.396596
2.155094,2.986296,-1.795485,1.278659,1.934244,-0.013776
0.285184,0.848552,-1.245115,0.959336,1.096398,-0.459427
1.311725,1.743413,-1.979318,0.216104,-1.195666,-1.460150
5.155326,2.577040,-3.614306,0.504812,-1.119348,-2.403021
2.155090,2.303643,-1.258332,0.250510,-1.619726,-3.098688
1.175049,0.835761,-0.759958,1.749615,3.000077,2.374666
1.095820,1.893727,-1.185254,0.878528,-0.015538,-1.168710
4.100219,3.863015,-2.745542,1.471302,2.482615,1.432851
5.563250,3.496115,-3.516429,-0.296859,-1.898984,-4.135777
1.061497,0.223356,-1.329894,-0.577027,-0.895977,-0.325979
4.058904,3.966227,-2.824639,1.296524,0.008195,-0.736297
3.988160,4.447602,-2.679345,1.225277,0.725171,-0.978742
4.964282,3.774188,-2.578268,-0.094376,-0.629964,-1.587746
3.159942,3.325181,-1.381497,2.175267,3.816005,1.927815
2.760310,4.747953,-2.668701,2.098315,2.871485,1.716894
1.282915,0.338903,-2.589579,-1.168598,-0.487510,-0.088043
0.262165,1.207220,-0.126066,0.888009,1.168142,0.859697
2.833763,3.291399,-1.036290,2.487742,2.163707,1.638253
3.260783,1.575943,-2.068941,-0.960869,-2.145224,-1.877462
0.717950,-0.688075,-1.537009,-1.029833,-0.400920,-0.638004
2.305094,1.986977,-2.167641,1.982342,1.623072,-0.827276
2.353591,1.010790,-2.337337,-0.047653,0.756924,-0.231033
2.434392,2.590879,-2.288776,2.505897,2.516395,1.452960
2.541548,2.416300,-0.851633,1.570310,0.954865,0.272490
2.517463,2.474469,-2.516591,2.915058,2.824915,1.587898
-0.541470,0.871796,-1.854937,-1.070296,-0.672801,-1.482427
1.875770,3.447232,-0.896741,2.247518,3.014595,2.469081
-0.023655,-0.453075,-0.434529,-0.826322,-0.440435,0.833725
1.985942,2.313045,-0.907836,0.643816,0.915457,-1.033214
1.875688,2.145074,-1.954993,2.178689,1.241537,0.293334
1.580836,3.754691,-2.240103,2.529952,2.783726,-0.467014
3.500532,4.122309,-2.947661,1.181533,1.818851,0.480361
4.697849,4.928713,-2.738183,2.269298,0.260550,-1.972067
3.795242,5.015400,-1.475712,3.426710,2.330160,0.973433
-0.261460,-0.253002,-0.013551,2.054041,1.235594,0.175494
4.311483,6.019529,-3.872711,1.672836,2.589937,-0.618865
5.209468,6.186431,-2.907845,3.592107,3.567066,1.003652
3.587670,5.283707,-0.782255,4.014344,4.252742,3.135361
2.234289,0.850134,-1.670786,-0.478648,-1.259408,-1.088653
2.698581,3.205339,-1.717589,1.642538,0.732787,-0.165703
2.550857,2.753398,-1.823944,1.489159,2.682560,0.898953
3.746087,3.244339,-2.787925,1.250896,1.273810,-0.429149
0.129172,0.980217,-0.512550,2.004103,2.244831,2.207411
1.491053,0.560973,-0.967455,-0.310598,-1.944918,-2.914957
0.674137,2.165423,-2.132583,0.088438,-0.229419,-1.154223
1.030839,1.358017,-2.374662,0.336516,0.043851,-0.329594
0.684542,-1.216585,-1.645098,-1.012108,-2.187340,-2.775719
4.109960,4.269950,-2.372854,2.423857,3.552871,2.602259
1.960749,0.809865,-0.527000,1.864522,3.275906,3.717383
4.016466,3.441628,-2.196824,1.632570,3.462026,1.789315
1.198355,1.834490,-1.771784,0.887406,1.385103,1.392475
0.934892,1.131844,-2.436508,0.282916,0.588954,0.470027
-0.213879,1.784989,-0.176204,0.712012,1.769184,0.285367
1.863485,1.299924,-1.824345,-0.029630,1.394670,1.073755
2.264757,2.013137,-2.768047,-0.313752,-1.270729,-1.205513
3.019720,2.560064,-0.629334,2.305561,2.700382,0.433762
-1.225156,0.979483,0.701361,0.319886,1.660170,2.340862
2.700385,4.943635,-1.324373,2.873324,3.130287,1.478424
1.910854,1.990543,-2.194657,-0.214205,-0.658179,-0.825902
0.203113,0.593624,-0.201122,1.596294,1.116495,1.371608
0.065272,0.203579,0.024666,-1.209429,-3.736010,-3.728305
-0.381691,-0.178569,0.690312,0.953270,-0.144909,-0.150363
1.693983,2.876738,-2.318787,2.737428,1.865127,1.939404
5.783704,5.621370,-2.856153,2.403247,1.656536,-1.353894
0.850807,2.647631,-2.020528,0.677768,0.084532,-2.009133
3.234507,4.689780,-2.699007,1.607582,1.907420,1.282473
2.106924,0.828888,-1.228048,-0.158660,-0.346458,0.254476
