x0,x1,x2,x3,x4,x5,x6,x7,label
-0.790152,-2.034625,0.603302,0.744295,-0.309687,0.367321,1.710394,1.060798,1
0.707639,0.687749,-0.863567,0.964017,-1.648463,-0.332092,-0.437294,-1.728519,0
-0.110339,1.643455,-0.340127,-1.207603,-0.091054,0.853924,0.193218,-0.002666,0
-1.409222,0.501016,0.485731,1.341266,1.489053,0.688583,-1.642417,-1.435394,0
-1.097978,0.294925,-0.787246,1.309538,0.243855,0.364767,0.750508,0.340248,0
-1.410567,2.451929,1.462989,1.523129,-0.747483,-1.847498,-1.506635,-1.053463,0
0.882139,0.900319,1.458393,2.142450,0.520908,0.354562,-0.363002,-0.336463,1
-1.157784,0.510800,0.318171,-0.405198,-0.810586,0.456951,1.306160,0.081498,0
0.283769,-0.548166,-0.248526,-0.316502,-0.285079,-0.597245,0.396383,1.299729,1
-0.947176,1.399207,-0.403002,-0.367089,-2.156466,-2.421476,0.735503,-1.091083,0
0.805308,0.050626,0.250473,1.333305,-0.072355,-3.266110,-1.738625,0.972632,0
1.996680,-0.095951,-0.702199,-1.392215,0.546054,-1.797887,-1.245811,0.135933,1
0.101934,-0.258814,1.063387,-1.243411,-1.190829,-0.418358,0.065141,-0.337766,1
1.992693,-0.603875,0.635344,-0.586399,0.320701,-0.442890,-0.393026,1.623661,1
-0.337029,1.717138,-0.739528,-0.468796,1.109444,-2.479663,-1.673855,0.017971,0
0.476903,0.572874,-0.326032,-1.445288,0.834440,0.446343,-1.141354,0.086160,1
1.821247,0.123843,-1.203056,-0.433045,-0.374386,0.343775,0.913705,-0.950181,1
-0.663120,1.030713,0.747418,1.372842,-1.486047,-0.974865,1.017571,-0.968953,0
0.326030,-0.058729,-0.762541,1.486935,-0.018464,-0.519378,-0.166062,0.248684,0
-1.605997,-0.882442,-1.306422,-2.144401,0.990638,1.455547,1.206302,-1.805463,0
0.402050,0.687460,-0.584043,0.827179,-1.139519,-1.097088,-0.851865,-0.738002,0
-1.029781,0.972324,-1.092687,-0.477205,-0.652279,2.229534,-0.917050,0.474053,0
1.840137,-1.205959,-0.848165,-0.339657,-1.347159,1.236529,-0.485569,1.060338,1
0.534385,0.017624,0.964567,-0.309922,1.061070,-1.327982,-0.754511,1.213932,1
-2.115674,0.476319,-0.416702,-0.552415,-0.704993,1.290761,-1.537901,0.835183,0
0.477154,-0.429761,-0.088737,0.706985,-0.597833,-1.521638,0.282018,-0.846674,0
-0.413080,0.052501,0.737258,1.816666,0.342555,0.115125,0.819507,0.285762,0
-1.691187,-0.602840,-1.239678,0.696614,1.273376,0.356209,-1.031539,0.801163,0
-0.963556,0.253328,-1.199864,-1.387118,-1.404443,0.017281,-0.661849,0.436429,0
-1.299341,0.490255,-0.619231,1.252586,1.019738,-0.216258,0.108281,0.243600,0
0.463757,-0.274227,1.095648,-0.508449,-1.925135,0.246360,-0.108392,0.832419,1
