temp_c,vib_mm_s,oil_bar,load_pct,runtime_h,fault
-0.790,-2.035,0.603,0.744,-0.310,1
0.367,1.710,1.061,0.708,0.688,0
-0.864,0.964,-1.648,-0.332,-0.437,0
-1.729,-0.110,1.643,-0.340,-1.208,0
-0.091,0.854,0.193,-0.003,-1.409,0
0.501,0.486,1.341,1.489,0.689,0
-1.642,-1.435,-1.098,0.295,-0.787,0
1.310,0.244,0.365,0.751,0.340,1
-1.411,2.452,1.463,1.523,-0.747,0
-1.847,-1.507,-1.053,0.882,0.900,0
1.458,2.142,0.521,0.355,-0.363,0
-0.336,-1.158,0.511,0.318,-0.405,1
-0.811,0.457,1.306,0.081,0.284,1
-0.548,-0.249,-0.317,-0.285,-0.597,0
0.396,1.300,-0.947,1.399,-0.403,0
-0.367,-2.156,-2.421,0.736,-1.091,0
0.805,0.051,0.250,1.333,-0.072,0
-3.266,-1.739,0.973,1.997,-0.096,0
-0.702,-1.392,0.546,-1.798,-1.246,1
0.136,0.102,-0.259,1.063,-1.243,0
-1.191,-0.418,0.065,-0.338,1.993,0
-0.604,0.635,-0.586,0.321,-0.443,0
-0.393,1.624,-0.337,1.717,-0.740,0
-0.469,1.109,-2.480,-1.674,0.018,0
0.477,0.573,-0.326,-1.445,0.834,1
0.446,-1.141,0.086,1.821,0.124,1
-1.203,-0.433,-0.374,0.344,0.914,0
-0.950,-0.663,1.031,0.747,1.373,1
-1.486,-0.975,1.018,-0.969,0.326,1
-0.059,-0.763,1.487,-0.018,-0.519,1
-0.166,0.249,-1.606,-0.882,-1.306,0
-2.144,0.991,1.456,1.206,-1.805,0
0.402,0.687,-0.584,0.827,-1.140,0
-1.097,-0.852,-0.738,-1.030,0.972,1
-1.093,-0.477,-0.652,2.230,-0.917,0
0.474,1.840,-1.206,-0.848,-0.340,0
-1.347,1.237,-0.486,1.060,0.534,0
0.018,0.965,-0.310,1.061,-1.328,0
-0.755,1.214,-2.116,0.476,-0.417,0
-0.552,-0.705,1.291,-1.538,0.835,1
0.477,-0.430,-0.089,0.707,-0.598,0
-1.522,0.282,-0.847,-0.413,0.053,0
0.737,1.817,0.343,0.115,0.820,0
0.286,-1.691,-0.603,-1.240,0.697,1
1.273,0.356,-1.032,0.801,-0.964,0
0.253,-1.200,-1.387,-1.404,0.017,1
-0.662,0.436,-1.299,0.490,-0.619,0
1.253,1.020,-0.216,0.108,0.244,0
0.464,-0.274,1.096,-0.508,-1.925,1
0.246,-0.108,0.832,0.596,0.129,1
0.107,0.127,-0.659,-1.217,-0.821,0
-0.091,-2.265,-0.436,-0.982,-0.088,1
-0.813,0.062,-0.228,1.296,-0.343,0
-0.244,0.026,-1.818,-1.072,1.436,1
0.516,0.084,1.082,-0.180,-0.249,1
-0.303,-1.776,0.939,-0.189,-0.094,1
-0.334,-0.635,-2.259,0.151,2.181,0
0.988,-0.288,-0.925,0.026,0.371,1
-0.120,0.834,-0.953,1.068,0.155,0
-0.549,-0.284,0.347,0.762,0.072,1
0.582,2.404,-1.639,-2.005,0.089,0
-0.968,0.113,-1.610,0.133,1.311,0
1.108,-1.098,-0.310,0.885,1.825,1
-0.953,-0.854,1.118,-0.359,-1.027,0
1.051,-1.680,-0.684,0.966,-0.628,1
0.764,-1.227,0.775,0.472,1.621,1
-0.246,-0.353,-0.096,1.048,-0.743,0
-0.142,1.950,0.780,0.724,-0.521,0
0.861,-1.165,-1.492,-0.942,1.418,1
0.167,-0.934,-0.358,0.451,1.182,1
-1.633,1.337,0.931,-0.698,-0.399,0
0.491,-0.287,0.137,-1.060,-1.823,1
2.429,0.171,0.224,0.509,1.335,1
0.929,-1.028,-0.113,0.069,0.762,1
-0.600,0.381,0.225,1.379,-2.609,0
0.080,0.339,0.675,-0.009,-0.829,1
0.669,0.369,-0.841,-1.361,0.558,1
-0.867,0.650,1.516,0.206,0.229,1
0.125,1.386,1.403,0.084,0.742,0
0.045,-0.497,0.768,-0.089,-0.850,1
-1.498,0.992,-0.964,-1.111,-0.264,0
0.739,-1.727,0.637,0.392,-1.216,1
-1.139,-0.174,1.934,-0.251,1.086,1
0.944,-1.587,-0.001,0.987,-0.497,1
1.222,-1.077,-1.469,-0.438,0.659,1
-0.383,0.925,-1.541,-0.578,1.372,0
-2.451,0.314,-0.885,-0.740,-0.323,0
-1.465,0.932,0.588,1.225,0.169,0
-0.940,0.653,-1.334,-0.913,2.105,0
1.082,0.449,1.490,-0.283,0.595,1
-0.806,-0.325,0.097,1.506,-0.688,0
1.069,0.001,-1.752,-1.924,-0.688,0
1.086,0.270,1.834,0.193,1.433,1
0.263,-0.903,0.729,-0.734,-1.404,1
-0.742,-0.379,0.263,0.868,0.625,0
2.112,-1.952,-0.166,2.612,-0.297,1
-1.247,-0.741,-0.956,-0.477,1.756,1
-1.384,-0.678,1.444,0.319,0.352,1
-0.357,0.968,-1.000,0.984,0.146,0
-0.166,-0.515,0.978,0.363,-0.370,1
0.144,-1.029,1.310,1.415,1.166,1
0.319,0.543,-1.334,-0.337,-0.213,0
-0.101,0.666,-0.408,-0.708,1.240,0
-0.280,-0.612,-1.990,-1.338,-0.202,1
0.301,-1.759,0.008,0.353,-0.483,1
0.079,1.433,-0.729,-1.677,-0.360,1
-0.865,-0.031,0.715,0.908,0.339,0
1.420,0.379,1.045,0.368,0.291,1
-0.491,0.018,-0.560,-0.282,0.087,0
1.169,-0.242,0.635,-1.225,-0.274,1
1.289,0.359,-1.804,-0.018,-0.234,0
-1.175,-1.747,-0.940,-1.057,0.726,1
0.590,0.653,1.093,-2.168,-0.263,1
0.353,-0.657,-0.615,-0.787,0.180,1
-0.045,1.243,0.405,0.225,-0.010,0
-0.773,0.137,0.837,0.485,-1.051,0
-1.496,0.714,0.206,0.307,-0.839,0
0.762,0.743,-0.234,0.596,-0.893,0
-0.063,-1.980,-0.263,2.482,0.731,1
1.749,0.613,0.278,0.263,-0.354,1
0.777,-0.683,0.100,3.320,0.559,0
-0.418,1.124,0.493,-0.204,-1.055,0
-0.104,-0.383,0.109,0.442,0.347,1
-0.881,0.577,0.465,-1.417,0.380,1
-0.034,0.428,-1.052,-0.285,-0.206,0
-1.208,0.543,-0.272,0.415,-0.980,0
-1.379,-1.138,-2.166,-0.755,0.419,0
1.485,1.211,1.361,1.356,2.211,1
0.246,1.008,0.712,-2.558,0.218,1
0.117,0.447,-0.465,-0.694,-0.467,1
0.798,0.522,1.559,-1.238,1.197,1
1.988,-0.880,0.125,-1.585,-2.813,1
-1.372,0.050,0.227,-0.397,0.661,1
0.363,1.943,-1.458,-0.912,-0.617,0
-0.676,-0.499,2.445,-0.381,0.665,1
-1.478,-0.733,0.873,1.023,-1.677,0
2.169,0.436,-0.800,0.484,-0.667,1
-1.514,0.194,0.863,1.116,-1.738,0
-0.996,-0.206,1.097,1.362,-0.423,0
-1.272,0.589,-0.505,0.442,1.100,0
0.641,-1.057,-1.292,-1.575,0.781,1
1.187,-1.092,-0.572,-1.003,-0.169,1
-0.919,-0.924,1.288,0.934,-0.002,0
1.160,-0.665,0.448,-1.029,-0.834,1
0.971,-1.317,-0.495,-1.291,-1.380,1
-0.064,-0.015,-1.672,2.174,1.502,0
-1.053,0.325,0.054,-0.775,-1.467,0
-0.101,-0.304,1.140,0.052,-1.174,1
-0.834,-0.137,0.901,-1.337,0.158,0
1.257,-1.621,1.379,-0.678,-0.155,1
-0.653,0.291,0.431,0.465,2.839,1
-2.680,-0.613,-1.459,-0.303,-0.819,0
-0.350,-0.106,-0.692,0.896,-1.607,0
-0.619,-0.039,1.362,-1.459,-1.348,1
0.489,0.027,-1.546,1.149,0.218,0
-0.391,-0.393,0.059,-0.423,0.295,1
0.302,-1.176,-1.656,1.607,-0.590,0
1.743,0.119,-2.789,0.250,-0.931,0
-2.348,-0.049,-1.191,-0.263,1.131,0
0.758,0.006,0.034,0.035,-0.740,1
