t,raw
0,0x0001
1,0xFFFF
2,0x0000
3,0x0000
4,0x0001
5,0x0001
6,0x0002
7,0xFFFE
8,0x0000
9,0x0003
10,0x0001
11,0x0001
12,0x0000
13,0x0000
14,0x0000
15,0x0000
16,0x0001
17,0x0001
18,0xFFFD
19,0x0002
20,0xFFFE
21,0x0000
22,0x0000
23,0x0004
24,0xFFFF
25,0xFFFC
26,0xFFFE
27,0x0001
28,0x0004
29,0x0001
30,0x0004
31,0x0004
32,0xFFFF
33,0xFFFF
34,0x0003
35,0x0002
36,0xFFFC
37,0x0001
38,0xFFFC
39,0xFFFE
40,0xFFFD
41,0x0000
42,0xFFFC
43,0x0003
44,0xFFFC
45,0x0003
46,0x0004
47,0xFFFE
48,0x0001
49,0x0000
50,0xFFFF
51,0xFFFF
52,0x0002
53,0x0003
54,0xFFFF
55,0xFFFC
56,0x0002
57,0x0004
58,0xFFFF
59,0xFFFF
