x,y
5.5771,14.3147
-11.0716,-14.5213
9.4588,19.5296
-16.5224,-25.4007
-3.1231,-0.5572
0.2142,4.6688
-18.9386,-27.6294
1.7977,8.3557
-11.1824,-16.0435
-19.7400,-30.1329
12.2328,24.7621
-13.7808,-19.9186
18.2885,35.1078
-16.1313,-22.9213
13.8998,26.6757
9.1893,18.9414
1.4491,7.4327
2.0816,7.6076
13.1762,25.4294
3.0941,8.3814
8.1829,18.6626
-8.4245,-9.9582
-16.8083,-24.3343
-8.8811,-10.5308
5.4274,12.9184
-11.6197,-14.9759
-9.3209,-10.5798
4.3652,11.1728
-13.1545,-18.2251
-4.8218,-4.4708
19.5809,36.8369
7.3846,15.9672
13.7141,27.6078
-18.7160,-28.1865
-7.3819,-8.4105
17.7164,34.8652
15.0547,29.3314
-4.1747,-1.8243
16.5819,31.7825
-10.1349,-12.8689
2.4547,8.2882
15.9129,32.3090
-4.0240,-2.1096
0.3811,7.5692
-16.3636,-23.2494
5.0978,12.9788
11.6832,23.8055
-4.7352,-3.7137
19.8449,35.8422
14.4312,28.3456
-19.5408,-29.2407
1.4788,5.5239
-9.3270,-11.9021
-2.6094,-0.5373
-1.8511,2.6190
-9.4644,-12.3571
0.0234,5.0055
14.8207,30.9871
-8.0622,-10.2101
-13.8864,-20.2470
10.5004,20.7038
1.2141,5.9238
-19.9771,-29.8324
17.1639,33.5205
15.1489,30.2898
-17.6830,-26.4586
15.1204,30.2246
-0.5604,3.1366
-17.2315,-25.0028
-14.8643,-22.4295
-0.9887,1.9218
14.8973,29.3322
-3.0745,-0.7898
9.1972,20.8028
-11.9540,-17.1093
5.9951,16.8094
-2.4760,-0.4130
-11.0121,-14.5654
-6.4766,-7.3019
-11.1913,-15.1300
-17.1603,-25.3644
16.2168,31.3453
14.3854,29.1876
6.7591,15.9445
-11.4305,-13.9696
2.8417,10.4149
-1.0932,2.6550
-12.3836,-18.2701
-16.1228,-23.9709
-1.3190,2.3102
9.1630,18.7103
-16.0633,-25.1492
-3.8951,-3.2685
-10.0537,-11.5441
-12.3916,-17.6600
-8.8582,-10.5932
-10.0077,-12.0462
14.4540,28.3704
2.0130,10.5138
13.4411,28.0013
18.7599,37.4830
-13.3476,-19.1848
-0.5744,3.4065
-17.6546,-25.0237
-4.8411,-3.4045
11.3628,23.4589
-1.7997,-0.6381
19.8169,38.8233
2.2307,7.9008
-8.1317,-10.0787
18.7484,35.1934
9.9190,20.5851
-17.7134,-26.7293
14.1088,27.7077
-13.7027,-18.7775
-12.5670,-17.2437
3.8014,10.3971
-15.2045,-22.1701
15.6115,30.7651
4.7753,13.3925
