wavelength_nm,intensity
400,0.000005
405,0.000012
410,0.000025
415,0.000054
420,0.000111
425,0.000224
430,0.000437
435,0.000830
440,0.001534
445,0.002756
450,0.004817
455,0.008189
460,0.013538
465,0.021770
470,0.034047
475,0.051790
480,0.076621
485,0.110251
490,0.154295
495,0.210019
500,0.278037
505,0.358000
510,0.448332
515,0.546074
520,0.646905
525,0.745359
530,0.835270
535,0.910384
540,0.965069
545,0.995012
550,0.997780
555,0.973145
560,0.923116
565,0.851671
570,0.764228
575,0.666977
580,0.566154
585,0.467407
590,0.375311
595,0.293106
600,0.222635
605,0.164474
610,0.118179
615,0.082588
620,0.056135
625,0.037109
630,0.023860
635,0.014921
640,0.009075
645,0.005368
650,0.003089
655,0.001728
660,0.000941
665,0.000498
670,0.000256
675,0.000128
680,0.000063
685,0.000030
690,0.000014
695,0.000006
700,0.000003
