ph,temp,do_sat,turbidity,nitrate,conductivity
-0.557342,0.379943,-0.803614,1.145551,0.531991,-0.995452
-2.451895,1.584450,-4.040447,-3.384611,-1.470341,1.073193
3.565301,-3.335108,4.612649,6.352877,2.997980,-2.554070
-2.178241,1.644521,-3.172689,-2.681672,-0.921653,1.026353
1.567350,-0.645439,1.192228,2.676559,1.747304,-1.723646
-0.674873,1.449229,-1.126693,0.566833,0.470110,-1.366327
-0.686547,-1.011932,-1.493037,1.070207,-0.233824,-0.224229
-1.530629,1.403045,-1.856925,-1.249768,-1.250922,1.209885
-0.154004,-0.282737,-0.479402,0.654594,0.386836,-0.711262
-1.601235,1.230811,-2.016878,-1.742246,-0.245843,-1.455681
1.650179,-1.543905,1.201343,2.800991,0.810453,-0.479949
2.356065,-1.510176,2.563496,2.919056,2.377495,-2.875044
-1.170734,0.269356,-1.699846,-0.506896,-0.910160,0.132085
0.589082,-0.867207,0.234896,0.437457,1.236359,-1.791402
-0.213415,-0.266694,0.824824,0.803759,0.858143,-1.443662
4.272219,-2.377656,4.687797,3.848572,2.870447,-4.000526
1.406425,-1.842432,0.994539,2.385353,0.669981,-0.803846
-2.133662,1.518154,-3.391175,-1.560832,-1.541328,1.444206
1.458570,-0.323153,1.863537,2.938198,1.825265,-2.016886
-0.827806,0.369955,-1.523625,0.105647,1.081468,-1.979366
1.486154,-0.957325,0.878250,1.489008,1.101383,-1.578865
3.008892,-1.947475,3.541805,4.016060,2.473811,-3.071614
0.698749,-0.767860,-0.300914,-0.051481,0.012430,-0.453824
1.461578,-1.520267,1.234033,2.843542,2.717707,-3.600179
3.145408,-1.246710,2.942543,3.707809,2.296655,-1.966864
-2.231816,0.786155,-3.764678,-1.159956,-0.753921,0.316179
2.089833,-1.716335,1.981302,1.848195,1.580072,-2.420822
-1.470215,1.392023,-1.954814,-0.419992,0.505629,-0.863469
-0.827876,0.264358,-1.591015,-2.238847,-0.773790,-0.225822
0.667584,-0.056436,0.429713,2.114038,0.667251,-1.925577
0.795088,-1.715411,0.129429,0.084526,0.282544,-1.419641
0.430582,-0.794385,-0.269410,0.229806,0.991372,-1.364105
0.811509,-0.805320,0.658905,2.185958,0.756447,-1.400847
-0.912750,1.015500,-1.396911,-0.676691,-0.638519,-0.782890
-1.173159,0.829558,-2.334213,-0.660387,-1.037964,0.140409
3.060911,-2.701572,3.452067,3.759664,3.157680,-3.668751
0.029246,-0.335297,0.387514,1.219902,1.352408,-2.594313
2.598629,-2.368584,2.524105,1.357117,2.102894,-2.796276
-3.352765,2.934405,-4.773454,-3.154540,-2.501926,1.633998
4.173715,-3.217852,5.203011,5.181775,4.028829,-3.416784
0.743702,-1.471503,0.630661,0.722538,1.031916,-1.074101
-2.611114,0.917922,-3.383515,-1.792266,-1.266344,0.752642
1.189320,-1.433505,1.403304,2.035092,0.985844,-1.408517
-1.129846,-0.090922,-1.898540,-1.281613,-0.067918,-0.091443
0.502012,-0.882264,0.073278,-0.031532,0.898579,-0.948372
-2.092258,1.330864,-3.131959,-1.979904,-0.661782,0.229439
0.547004,-1.732200,1.117732,1.003570,1.595709,-1.821348
1.150044,-0.787846,1.864461,3.948533,1.709512,-2.326254
0.617152,-0.429306,0.604915,-0.203608,0.626955,-0.987659
2.311424,-1.508523,2.594056,3.068801,1.486705,-1.374842
-0.206609,0.511389,-0.834187,2.060035,0.556321,-1.060721
-2.067660,1.790453,-3.437831,-1.857810,-0.948195,0.477328
-0.900045,0.866302,-2.087167,-0.317660,-0.979920,1.049543
1.534742,-0.574458,1.031597,2.580548,0.675041,-1.755395
1.114380,-1.140870,0.870735,0.806441,0.679966,-1.090226
1.252303,-0.790854,1.030288,1.461787,1.847497,-1.686113
0.828526,-0.384150,0.055543,1.404213,1.193308,-1.630866
-0.209171,-0.775924,-1.000508,-1.739279,0.152909,-1.261433
0.978364,-0.296307,1.371493,1.935304,0.806487,-0.740193
-1.996975,1.544377,-2.594257,-0.635998,-1.210163,0.035700
-0.403276,1.368800,-0.851424,-0.171711,0.596822,-1.190565
1.566266,-0.650668,2.320688,2.516121,1.706047,-2.372393
0.523595,-0.149721,0.218174,-0.477152,-0.023110,-1.077620
-0.895211,0.874862,-1.363356,-1.080497,-0.322168,-0.505836
2.225968,-1.341852,1.825016,2.822742,1.605820,-1.689798
-0.897823,0.222402,-2.296975,-0.369616,-0.425080,-0.168116
3.819362,-1.959514,3.930860,4.022365,2.379476,-3.245150
1.269952,-0.948051,1.261844,1.421657,2.211161,-2.952006
0.805126,-0.966372,0.824195,1.940395,0.362938,-1.288493
-1.029079,0.765696,-2.028388,-1.126129,-0.560458,-0.381508
1.269815,-0.589721,1.188750,2.647711,1.986617,-2.493091
0.036860,-0.348100,-0.491699,0.143173,0.334087,-1.126656
-2.682376,1.179737,-3.427030,-2.546140,-1.215805,0.847709
1.998848,-1.598024,2.712424,3.927047,2.075574,-2.950388
1.856948,-1.147377,1.751003,4.282754,1.352169,-1.083132
1.258406,-1.245917,1.588017,4.725270,1.795654,-2.092201
1.331383,-0.445376,1.498995,2.170421,1.635577,-2.398914
0.228502,0.006039,-0.514135,-0.226231,1.034864,-1.778648
3.027369,-1.822080,3.203333,2.550751,2.578908,-3.237751
-1.298508,1.081379,-1.327508,-1.332454,0.267712,-1.381613
-0.120072,-0.024161,-0.788109,0.081083,1.475316,-2.006095
-0.093800,0.590973,-0.155491,0.056580,0.191924,-1.292454
-1.490594,0.127440,-2.031462,-0.003189,0.319033,-0.292570
-0.943399,0.497093,-1.897563,-0.437996,-0.386761,-0.513319
0.063310,-0.417930,-0.392514,0.552055,1.065856,-1.970774
0.459374,-1.089154,0.696893,1.478072,1.151718,-2.125853
-1.875368,1.380864,-1.885345,0.188769,0.193186,-0.864985
-1.634593,1.112095,-2.512165,-1.140288,-0.021589,-0.631480
-1.625531,0.121334,-2.491768,-0.087694,-0.094520,0.157494
0.205826,-0.097461,-0.208779,0.701699,0.747707,-0.765926
0.858253,-1.191418,-0.049993,-0.624956,0.465673,-1.941884
0.289066,-0.357375,0.099921,0.909923,1.108630,-1.957820
0.388913,0.007374,0.209796,1.049305,0.213959,-0.246058
-1.129672,-0.152995,-1.718260,-0.428562,-0.595681,-0.107411
1.326806,-0.866760,1.504637,2.995855,2.094690,-2.350657
-1.067729,0.400087,-2.042686,-2.193622,-0.151772,-0.683003
0.176878,-0.168166,-0.002522,2.359089,0.376311,-0.879001
-1.050619,0.903705,-1.179970,-1.115958,0.956549,-1.148568
-0.552899,0.537596,-1.087604,0.643019,0.126502,-0.136044
0.639493,0.052989,-0.179862,1.768185,0.666326,-1.517726
-0.320842,-0.518716,-0.867929,0.977445,0.453732,-1.099639
-0.963158,0.710924,-1.101473,-0.039293,-0.221907,-0.594874
-0.942013,0.786902,-1.424123,-2.155191,-0.292346,-0.198348
1.970349,-1.865597,1.271217,2.370474,1.148062,-1.498470
-2.666219,1.578679,-2.962309,-1.719992,-1.368008,0.959355
0.119490,-0.529283,-0.119384,-0.033965,0.608391,-1.196714
2.575673,-2.042042,2.646608,4.479534,2.018553,-2.466599
3.721854,-2.296355,4.166243,5.086381,2.437888,-2.524168
-0.951436,0.033466,-1.981893,-1.598340,0.150457,-0.243049
4.471974,-2.773117,4.806212,4.902418,2.402692,-3.799409
1.349131,-0.895216,1.145370,3.250680,0.910434,-0.979547
-1.661514,0.778793,-2.584710,-2.554199,-0.926473,1.400128
0.759868,-0.551292,0.344867,0.283167,1.167006,-1.466985
1.280227,-0.615070,1.790243,4.034588,1.881026,-2.708549
2.434259,-1.478449,1.930204,4.320639,1.603031,-1.837760
0.908903,-0.562280,0.813626,2.310153,1.791923,-3.060458
1.610124,-2.037136,1.672919,1.948015,1.672819,-1.972181
