vibration,hours_since_service,load,needs_recal
-0.7902,2.03,0.6033,0
0.7443,0.31,0.3673,1
1.7104,1.06,0.7076,1
0.6877,0.86,0.9640,1
-1.6485,0.33,-0.4373,0
-1.7285,0.11,1.6435,1
-0.3401,1.21,-0.0911,0
0.8539,0.19,-0.0027,0
-1.4092,0.50,0.4857,0
1.3413,1.49,0.6886,1
-1.6424,1.44,-1.0980,0
0.2949,0.79,1.3095,1
0.2439,0.36,0.7505,1
0.3402,1.41,2.4519,1
1.4630,1.52,-0.7475,1
-1.8475,1.51,-1.0535,0
0.8821,0.90,1.4584,1
2.1424,0.52,0.3546,1
-0.3630,0.34,-1.1578,0
0.5108,0.32,-0.4052,1
-0.8106,0.46,1.3062,1
0.0815,0.28,-0.5482,1
-0.2485,0.32,-0.2851,0
-0.5972,0.40,1.2997,0
-0.9472,1.40,-0.4030,0
-0.3671,2.16,-2.4215,0
0.7355,1.09,0.8053,1
0.0506,0.25,1.3333,1
-0.0724,3.27,-1.7386,0
0.9726,2.00,-0.0960,0
-0.7022,1.39,0.5461,0
-1.7979,1.25,0.1359,0
0.1019,0.26,1.0634,1
-1.2434,1.19,-0.4184,0
0.0651,0.34,1.9927,0
-0.6039,0.64,-0.5864,0
0.3207,0.44,-0.3930,0
1.6237,0.34,1.7171,1
-0.7395,0.47,1.1094,1
-2.4797,1.67,0.0180,0
0.4769,0.57,-0.3260,1
-1.4453,0.83,0.4463,0
-1.1414,0.09,1.8212,0
0.1238,1.20,-0.4330,0
-0.3744,0.34,0.9137,0
-0.9502,0.66,1.0307,0
0.7474,1.37,-1.4860,0
-0.9749,1.02,-0.9690,0
0.3260,0.06,-0.7625,0
1.4869,0.02,-0.5194,1
-0.1661,0.25,-1.6060,0
-0.8824,1.31,-2.1444,0
0.9906,1.46,1.2063,1
-1.8055,0.40,0.6875,0
-0.5840,0.83,-1.1395,0
-1.0971,0.85,-0.7380,0
-1.0298,0.97,-1.0927,0
-0.4772,0.65,2.2295,1
-0.9170,0.47,1.8401,0
-1.2060,0.85,-0.3397,0
-1.3472,1.24,-0.4856,0
1.0603,0.53,0.0176,1
0.9646,0.31,1.0611,0
-1.3280,0.75,1.2139,0
-2.1157,0.48,-0.4167,0
-0.5524,0.70,1.2908,0
-1.5379,0.84,0.4772,0
-0.4298,0.09,0.7070,1
-0.5978,1.52,0.2820,0
-0.8467,0.41,0.0525,0
0.7373,1.82,0.3426,1
0.1151,0.82,0.2858,0
-1.6912,0.60,-1.2397,0
0.6966,1.27,0.3562,1
-1.0315,0.80,-0.9636,0
0.2533,1.20,-1.3871,0
-1.4044,0.02,-0.6618,0
0.4364,1.30,0.4903,0
-0.6192,1.25,1.0197,0
-0.2163,0.11,0.2436,0
0.4638,0.27,1.0956,0
-0.5084,1.93,0.2464,0
-0.1084,0.83,0.5960,0
0.1295,0.11,0.1267,1
-0.6593,1.22,-0.8209,0
-0.0913,2.27,-0.4357,0
-0.9819,0.09,-0.8134,0
0.0623,0.23,1.2961,0
-0.3432,0.24,0.0257,0
-1.8179,1.07,1.4362,0
0.5165,0.08,1.0815,1
-0.1802,0.25,-0.3027,0
-1.7759,0.94,-0.1892,0
-0.0941,0.33,-0.6350,0
-2.2591,0.15,2.1810,0
0.9882,0.29,-0.9247,0
0.0257,0.37,-0.1203,0
0.8341,0.95,1.0677,1
0.1551,0.55,-0.2837,1
0.3473,0.76,0.0724,0
0.5819,2.40,-1.6389,0
-2.0054,0.09,-0.9678,0
0.1130,1.61,0.1329,1
1.3109,1.11,-1.0980,0
-0.3095,0.89,1.8245,0
-0.9531,0.85,1.1176,1
-0.3592,1.03,1.0512,0
-1.6800,0.68,0.9663,0
-0.6283,0.76,-1.2267,0
0.7754,0.47,1.6207,1
-0.2459,0.35,-0.0958,1
1.0476,0.74,-0.1421,1
1.9496,0.78,0.7243,1
-0.5211,0.86,-1.1647,0
-1.4920,0.94,1.4177,0
0.1673,0.93,-0.3582,0
0.4508,1.18,-1.6334,0
1.3370,0.93,-0.6976,0
-0.3993,0.49,-0.2865,0
0.1374,1.06,-1.8228,0
2.4287,0.17,0.2245,1
0.5088,1.34,0.9289,0
-1.0284,0.11,0.0692,0
0.7618,0.60,0.3814,1
0.2251,1.38,-2.6089,0
0.0796,0.34,0.6746,1
-0.0086,0.83,0.6693,0
0.3687,0.84,-1.3611,0
0.5578,0.87,0.6499,0
1.5158,0.21,0.2288,1
0.1254,1.39,1.4029,0
0.0843,0.74,0.0450,0
-0.4970,0.77,-0.0888,0
-0.8500,1.50,0.9921,0
-0.9639,1.11,-0.2636,0
0.7395,1.73,0.6368,0
0.3916,1.22,-1.1392,0
-0.1745,1.93,-0.2508,0
1.0861,0.94,-1.5873,1
-0.0013,0.99,-0.4970,0
1.2220,1.08,-1.4692,0
-0.4383,0.66,-0.3834,0
0.9248,1.54,-0.5779,0
1.3724,2.45,0.3139,0
-0.8850,0.74,-0.3225,0
-1.4651,0.93,0.5878,0
1.2247,0.17,-0.9399,1
0.6531,1.33,-0.9125,0
2.1047,1.08,0.4491,1
1.4901,0.28,0.5949,1
-0.8060,0.33,0.0970,0
1.5058,0.69,1.0686,1
0.0010,1.75,-1.9235,0
-0.6878,1.09,0.2696,0
1.8342,0.19,1.4331,1
0.2631,0.90,0.7289,1
-0.7343,1.40,-0.7418,0
-0.3786,0.26,0.8678,0
0.6248,2.11,-1.9515,0
-0.1661,2.61,-0.2974,0
-1.2466,0.74,-0.9563,0
-0.4771,1.76,-1.3839,0
-0.6785,1.44,0.3189,1
0.3522,0.36,0.9680,0
-1.0004,0.98,0.1459,1
-0.1659,0.51,0.9783,0
0.3632,0.37,0.1436,1
-1.0291,1.31,1.4145,0
1.1664,0.32,0.5427,0
-1.3341,0.34,-0.2132,0
-0.1007,0.67,-0.4083,0
-0.7076,1.24,-0.2798,0
-0.6121,1.99,-1.3378,0
-0.2018,0.30,-1.7592,0
0.0082,0.35,-0.4825,0
0.0785,1.43,-0.7291,0
-1.6770,0.36,-0.8651,0
-0.0311,0.72,0.9078,1
0.3390,1.42,0.3792,0
1.0447,0.37,0.2915,1
-0.4915,0.02,-0.5602,0
-0.2822,0.09,1.1693,1
-0.2422,0.64,-1.2250,0
-0.2744,1.29,0.3595,0
-1.8037,0.02,-0.2335,0
-1.1746,1.75,-0.9402,0
-1.0569,0.73,0.5903,1
0.6528,1.09,-2.1675,0
-0.2631,0.35,-0.6572,0
-0.6154,0.79,0.1796,0
-0.0455,1.24,0.4048,1
0.2248,0.01,-0.7727,0
0.1366,0.84,0.4847,1
-1.0508,1.50,0.7137,0
0.2056,0.31,-0.8392,0
0.7622,0.74,-0.2343,0
0.5957,0.89,-0.0628,0
-1.9804,0.26,2.4822,0
0.7310,1.75,0.6131,0
0.2780,0.26,-0.3544,1
0.7771,0.68,0.1001,1
3.3200,0.56,-0.4175,1
1.1245,0.49,-0.2038,1
-1.0554,0.10,-0.3830,0
0.1092,0.44,0.3472,1
-0.8813,0.58,0.4645,0
-1.4165,0.38,-0.0341,0
0.4276,1.05,-0.2854,0
-0.2057,1.21,0.5427,0
-0.2725,0.42,-0.9802,0
-1.3787,1.14,-2.1655,0
-0.7549,0.42,1.4853,0
1.2114,1.36,1.3557,1
2.2111,0.25,1.0078,1
0.7124,2.56,0.2181,0
0.1170,0.45,-0.4654,1
-0.6940,0.47,0.7976,0
0.5222,1.56,-1.2380,0
1.1970,1.99,-0.8800,1
0.1249,1.59,-2.8127,0
-1.3722,0.05,0.2266,1
-0.3968,0.66,0.3629,0
1.9428,1.46,-0.9118,0
-0.6169,0.68,-0.4986,0
2.4450,0.38,0.6650,1
-1.4779,0.73,0.8732,0
1.0230,1.68,2.1692,0
0.4360,0.80,0.4844,1
-0.6674,1.51,0.1944,0
0.8628,1.12,-1.7384,0
-0.9963,0.21,1.0972,0
1.3624,0.42,-1.2715,1
0.5886,0.50,0.4425,0
1.1005,0.64,-1.0568,0
-1.2919,1.58,0.7805,0
1.1865,1.09,-0.5719,0
-1.0031,0.17,-0.9194,0
-0.9237,1.29,0.9343,0
-0.0018,1.16,-0.6654,0
0.4478,1.03,-0.8340,0
0.9711,1.32,-0.4947,0
-1.2910,1.38,-0.0640,0
-0.0150,1.67,2.1737,1
1.5018,1.05,0.3250,1
0.0543,0.77,-1.4667,0
-0.1015,0.30,1.1403,1
0.0515,1.17,-0.8337,0
-0.1371,0.90,-1.3366,0
0.1576,1.26,-1.6213,0
1.3790,0.68,-0.1555,1
-0.6534,0.29,0.4305,0
0.4649,2.84,-2.6798,0
-0.6126,1.46,-0.3025,0
-0.8185,0.35,-0.1060,0
-0.6919,0.90,-1.6073,0
-0.6191,0.04,1.3624,1
-1.4590,1.35,0.4894,0
0.0267,1.55,1.1488,0
0.2179,0.39,-0.3929,0
0.0586,0.42,0.2953,0
0.3015,1.18,-1.6564,1
1.6068,0.59,1.7434,1
0.1187,2.79,0.2502,0
-0.9312,2.35,-0.0494,0
-1.1906,0.26,1.1314,0
0.7578,0.01,0.0337,1
0.0351,0.74,-1.0995,0
-0.5329,0.07,-0.9015,0
-0.3359,0.07,-1.0499,0
0.9804,1.22,0.0938,1
-1.0653,2.09,-2.6747,0
1.0966,0.11,-0.7093,1
-1.6295,0.28,0.8531,0
0.2182,1.17,2.9915,1
0.4407,1.40,0.2955,1
0.3164,0.65,0.2819,1
-1.3629,0.30,-0.9157,0
0.0508,0.13,0.6066,0
0.1569,0.41,2.6376,1
-0.4153,0.44,0.4002,0
0.4328,0.94,-1.5512,0
-0.6392,1.07,0.2129,0
0.2308,1.53,-1.5409,0
-0.9217,0.16,0.7264,1
0.8423,2.01,-0.1482,0
-0.0018,0.50,-0.4855,0
-1.1784,0.45,-2.5122,0
1.2227,0.11,1.4197,1
-0.9280,1.86,1.7503,1
-2.3180,1.35,0.6879,0
1.3580,0.80,-0.3085,0
-0.3604,0.46,-1.0001,0
0.5312,0.83,-0.1874,0
0.0176,2.28,0.2433,0
-0.4964,1.04,1.1707,0
-0.7865,1.06,1.4192,0
1.1849,1.29,1.6334,1
-1.2218,1.71,0.9784,0
0.9196,0.12,0.7012,1
-0.8149,1.08,-0.1507,0
0.3880,0.59,-0.1544,0
0.5705,1.19,0.4479,0
-0.5359,1.67,-1.2232,0
0.1659,1.89,2.4493,1
1.5966,0.47,-1.8232,0
-0.5152,0.08,0.0967,0
-1.0467,0.55,0.2050,1
0.0501,1.29,0.5702,1
0.5915,0.55,0.0725,0
-1.9654,0.42,-1.6088,0
0.1402,0.55,0.1210,0
1.5258,0.69,-0.1016,1
-0.5630,0.33,1.3247,1
-1.3945,1.66,1.3638,0
0.5898,0.35,0.2398,0
-0.4041,1.48,-1.1361,0
-0.9841,0.04,-2.5180,0
1.4738,0.33,0.7601,1
0.1755,1.78,0.0420,0
0.4213,1.20,-1.0202,0
-1.0649,0.78,-1.2667,1
-0.9206,0.09,0.1147,0
-0.6145,1.56,1.6115,0
-1.2823,1.80,0.4578,0
0.6572,0.78,-1.4020,0
-1.2866,0.47,-0.7398,0
2.7705,0.46,0.9358,1
-0.9909,2.16,1.8795,0
-1.5172,0.35,0.0849,0
1.5533,2.44,-0.3413,0
0.8683,0.39,-0.7052,0
-1.5492,0.29,-0.2964,0
-1.5649,0.04,-0.8206,0
0.1808,0.64,1.0122,1
0.2661,1.12,-0.3105,0
-0.4709,0.94,-0.8091,0
1.4511,0.12,0.5845,1
-0.5451,1.16,-0.6883,0
1.5769,0.35,0.7175,1
0.4980,0.90,1.3417,1
-1.6410,0.02,0.7199,0
0.9649,0.72,-0.5764,1
-0.3130,1.11,-0.3384,0
-1.0001,0.39,-0.2975,0
-0.9235,0.86,0.0441,0
-0.9356,1.51,-1.2159,0
0.1243,1.93,-0.0224,0
0.7223,0.75,-0.4277,1
-1.6224,1.12,-0.7069,0
0.2096,0.52,-1.2724,0
-0.6841,1.36,1.6148,0
-0.7693,1.41,-1.7337,0
-1.1083,1.33,-0.4013,0
2.0452,0.71,1.2981,1
-1.6781,0.09,-0.4507,0
1.5231,0.55,-0.0882,1
-0.9239,1.78,0.4882,0
-0.4899,0.22,-1.1291,0
-0.2068,1.01,-0.6777,0
0.0087,0.70,0.4000,0
-1.3301,0.58,1.1629,0
-0.9026,1.97,1.0972,0
-0.3097,1.21,-1.3465,0
0.3936,1.33,-1.9008,0
0.4558,0.05,0.4248,1
-0.7315,0.22,-1.1609,0
-0.5440,0.01,0.0866,1
0.9708,0.67,-1.0373,0
-0.6671,0.64,1.2318,0
0.4659,0.43,0.2279,0
1.1613,1.37,-0.5654,0
-0.9674,0.06,-0.6032,0
0.0098,0.88,0.3352,0
0.5269,1.49,1.2797,0
0.2389,0.88,0.8680,0
-0.6379,1.42,-0.3003,0
-1.3561,1.84,1.0387,0
1.2972,0.51,-0.2119,0
0.1093,0.51,-0.0709,0
0.3219,0.81,-0.1545,1
1.1634,0.06,-1.8604,1
-1.0205,0.79,-0.5506,0
0.1029,0.98,1.4685,0
-0.2994,0.41,-0.9569,0
-2.1510,0.39,0.7184,0
0.9118,0.18,0.1104,0
-0.9056,1.67,0.0005,0
0.4297,0.40,0.7832,0
0.9089,0.73,0.6963,0
0.1924,0.62,-2.0371,0
0.1542,1.33,0.4417,1
1.9211,0.69,-1.9802,0
1.1275,0.82,0.0118,1
-0.2942,0.08,1.7611,1
1.3396,1.21,0.5920,0
-0.5312,1.46,1.7843,1
-0.1634,1.23,1.3481,0
1.0537,1.43,0.2132,0
0.7084,0.32,0.4425,1
0.3516,1.75,0.1648,0
1.3972,0.98,-0.1989,0
-2.6965,0.58,0.3094,0
1.0844,1.71,-0.6469,0
-0.5185,0.71,-0.3212,0
0.8017,1.51,-0.1375,0
-0.9491,1.42,0.2381,0
-1.0150,0.52,-0.4462,0
-2.8048,0.69,0.3291,0
0.1976,0.33,1.3837,1
0.3211,1.06,0.3960,0
1.1572,0.10,-0.0469,1
0.4734,0.78,0.4730,1
-0.3207,0.68,-0.1926,0
-0.2474,1.23,-0.3018,0
-0.8054,0.55,-0.9103,0
1.1517,0.11,1.0335,1
0.0213,1.00,-2.8230,0
-0.9184,1.13,-0.4896,0
0.8691,1.07,-1.6773,0
-0.4414,0.16,1.4246,1
