m3,m0,m5,m1,m4,m2
0.865237,0.025131,1.028433,1.379528,2.229925,1.221807
-0.470106,0.085324,0.777632,-0.674580,-0.237226,-1.198084
1.937416,1.352877,-0.083031,2.633987,1.583638,1.517596
-0.533771,-0.871159,-2.670992,-0.270836,1.003714,-1.104910
0.590157,0.939846,2.948994,0.944532,0.082476,2.352690
0.627494,0.603770,0.942079,0.709074,1.642009,0.558239
2.517755,1.599730,0.179379,1.816880,0.943721,0.290357
0.207115,0.999742,0.646632,0.827542,-0.451049,1.836608
-0.887375,-1.745313,-2.050650,-0.056162,0.417206,-1.236254
0.876694,1.207597,0.116941,1.002086,1.390001,0.920120
-0.277338,0.033850,1.649118,-0.179819,-1.757006,1.711126
-3.238701,-0.774861,1.599539,-1.954627,-1.502930,-0.242153
-1.282632,-1.184519,-2.350764,-2.290607,-0.497295,-1.830933
1.231096,1.674373,1.875259,-0.641533,0.233846,1.043493
0.043911,-1.585293,-3.863985,-0.651262,-0.848884,-2.554366
1.050679,-0.259189,-0.782447,-0.167339,-0.886741,-0.636371
2.060798,1.485766,2.358322,1.459841,0.747191,1.809578
-2.577931,-1.140751,-1.947142,-1.196109,-0.701410,-0.120505
0.875118,-0.210518,1.945209,-0.322391,1.066516,-0.333247
1.011391,1.027628,1.410114,1.239505,0.572417,1.423951
-0.576799,1.124715,0.197974,-0.182327,-2.236948,1.129475
0.624591,0.375342,-1.537372,1.198686,1.654801,0.766537
-2.113081,-1.890413,-1.163136,-1.903450,0.591000,-2.330045
3.492681,2.254483,2.248217,2.961262,2.780879,3.327569
-1.895091,0.327838,0.264434,0.630446,0.633039,0.499731
0.816745,0.576495,2.698734,-0.145693,1.101746,2.155433
-0.101508,-0.960327,1.355344,-1.314761,-0.980060,1.802552
0.194508,-0.281709,0.875666,0.421939,0.869909,2.099135
1.368397,1.916679,0.055644,1.223279,0.897512,0.769142
0.496192,0.745211,1.968901,0.636330,2.013265,0.942019
0.585619,0.318114,0.025438,1.283307,0.987434,1.313632
1.482099,0.538011,0.614531,0.378939,-1.657748,0.814267
-1.505317,-0.818584,-2.124210,-2.516350,-0.281090,-2.287914
1.294411,0.314884,-1.074181,-0.490557,-0.232744,-1.052351
0.263461,-1.451148,-1.053059,-1.359716,-0.563144,-0.907659
1.061007,0.342920,1.555208,0.765513,0.047803,2.142378
-0.010909,0.089093,0.607077,-0.980498,-2.105590,-0.269205
