A,B,C,D,E,F,G,Y
0.07630829,0.93813482,0.79267128,0.73881834,0.67816576,0.08939368,0.53171855,0.73288433
0.77991879,0.46971269,0.22487727,0.05827368,0.76757948,0.94568961,0.00819119,1.17826530
0.43840923,0.00564195,0.47713207,0.67477820,0.38010540,0.25996969,0.79726757,0.67290386
0.72346518,0.99920830,0.51540218,0.81424824,0.95771185,0.60612817,0.55447995,1.64202017
0.97798951,0.04777321,0.83770240,0.79252121,0.48279426,0.47058632,0.07887882,1.09747883
0.53849587,0.38944790,0.16403321,0.43860138,0.26781991,0.51194470,0.84886957,1.00803631
0.50112046,0.53905670,0.01471861,0.82277044,0.99284824,0.21398676,0.71021828,1.06858994
0.07205113,0.89173344,0.50665503,0.54707668,0.27952085,0.35877618,0.91472612,0.86478201
0.26843898,0.82311211,0.35524592,0.18672509,0.44074739,0.28237916,0.68193034,0.80096704
0.49988250,0.60938664,0.29216538,0.28573684,0.69773804,0.61572194,0.50348787,1.12966999
0.67923000,0.39860229,0.77223710,0.59273596,0.79813929,0.42232840,0.79040343,0.93173638
0.80373904,0.83447872,0.68346707,0.55247480,0.31664938,0.59161387,0.35847312,1.54263719
0.38094113,0.86905839,0.08393715,0.80216827,0.03526751,0.53666163,0.43560029,1.48079529
0.06593635,0.87190491,0.54810336,0.71489348,0.57805175,0.66599451,0.35611098,0.99644868
0.28814560,0.71763644,0.79784462,0.21306015,0.59198664,0.97552356,0.32605767,0.70454566
0.90959353,0.09778734,0.90968434,0.39738633,0.72956478,0.53352031,0.94337620,0.66203776
0.21338535,0.29857943,0.00018492,0.77807418,0.26098444,0.54645350,0.50643027,0.85327990
0.45212396,0.48592206,0.80755010,0.45811813,0.82072406,0.61404684,0.50749692,0.78627071
0.93120602,0.50505337,0.04324793,0.22503026,0.77393365,0.54743263,0.37853880,1.40058233
0.02489923,0.83287341,0.68212058,0.93709477,0.86165139,0.41129379,0.32768796,0.83174912
0.60054892,0.23783677,0.59800710,0.44907559,0.75601081,0.24600387,0.23094134,0.75509701
0.95012950,0.66459076,0.95201629,0.30872693,0.67311662,0.53640666,0.94914072,1.03450537
0.23030288,0.37419990,0.63187909,0.51125827,0.55411916,0.24605002,0.73255436,0.48123134
0.54848992,0.77548255,0.06993906,0.30091836,0.85745122,0.65946113,0.48101809,1.15428547
0.90912837,0.19577433,0.67039798,0.27038376,0.22596200,0.88633705,0.59752256,1.22834553
0.13316945,0.47662729,0.25492042,0.66153179,0.66500973,0.80012316,0.83863170,0.80784798
0.52341258,0.10355858,0.83194399,0.79523331,0.79210845,0.78641775,0.36994897,0.77599202
0.75040986,0.21199017,0.03146209,0.40883174,0.77473392,0.21321394,0.28211380,1.02382337
0.66901324,0.93517469,0.32413582,0.16094017,0.12961698,0.03361979,0.47724031,1.33960623
0.46775286,0.31604711,0.67643589,0.47579539,0.31386054,0.20374738,0.46020418,0.73265168
0.20484909,0.89297700,0.15563480,0.40160074,0.93275464,0.57020655,0.83089035,0.95391351
