chill_hours,rainfall_mm,soil_ph,frost
947.48,688.27,7.03,1
1306.79,103.78,6.10,1
1332.03,612.16,7.32,1
495.89,525.88,6.41,1
215.74,257.72,5.58,1
391.53,733.66,5.19,0
940.94,183.89,4.80,1
458.58,885.59,7.24,0
547.17,868.41,6.31,0
1329.17,646.33,7.51,1
1272.49,325.01,5.81,1
278.17,327.11,6.49,1
204.06,635.91,5.75,0
776.89,338.95,6.15,1
1045.60,126.74,7.53,1
1213.86,94.82,7.01,1
639.42,554.39,4.83,1
1346.22,241.15,6.92,1
1315.59,852.48,5.76,1
1130.72,168.60,6.90,1
1156.67,784.95,4.90,1
608.89,580.88,7.37,1
607.95,837.84,6.33,0
412.97,144.12,5.22,1
1027.01,897.32,5.25,1
840.24,412.83,5.46,1
912.75,757.56,6.08,1
1299.28,106.83,6.18,1
1206.12,187.07,6.85,1
1145.61,167.44,6.02,1
379.09,772.68,5.63,0
1222.70,880.33,6.07,1
785.79,678.19,6.14,1
375.81,389.14,7.57,1
1351.78,594.11,6.20,1
526.77,721.26,7.23,0
633.59,724.54,6.97,1
1111.57,378.01,6.77,1
537.02,478.26,6.96,1
1334.66,612.75,6.43,1
213.90,528.53,5.50,0
1180.02,610.90,7.03,1
617.46,608.13,6.87,1
1211.46,793.33,6.73,1
1371.35,864.34,6.25,1
1203.94,848.65,6.14,1
1029.71,670.14,6.84,1
897.01,625.76,5.98,1
948.48,715.26,6.58,1
392.03,441.68,6.62,1
462.85,642.48,6.57,0
471.49,124.40,5.17,1
580.82,228.87,5.34,1
656.36,581.67,6.45,1
485.42,820.61,4.80,0
692.05,174.36,7.13,1
648.66,109.57,6.52,1
607.25,556.33,7.48,1
1182.23,423.66,7.08,1
370.53,568.67,6.38,0
1348.66,873.76,6.50,1
201.14,168.49,6.38,1
938.20,195.37,6.56,1
718.02,265.60,5.62,1
1366.95,391.42,7.49,1
511.79,884.40,6.19,0
698.59,341.71,7.56,1
772.32,179.95,6.54,1
732.16,320.34,6.99,1
839.08,304.51,7.42,1
1138.29,281.44,5.55,1
551.83,578.59,6.13,1
973.85,575.16,6.88,1
560.83,517.47,5.74,1
556.19,514.49,6.10,1
908.97,109.87,5.51,1
746.74,831.59,7.29,1
1134.06,430.74,6.41,1
1049.82,598.43,6.15,1
670.24,778.56,5.35,1
555.74,760.62,4.98,0
719.38,314.82,6.99,1
1292.81,197.00,6.14,1
596.88,205.89,6.44,1
1174.19,136.10,5.44,1
996.32,100.95,6.82,1
1374.42,898.63,6.76,1
463.08,609.50,7.47,1
1054.93,190.39,5.62,1
932.73,419.43,5.25,1
946.89,115.72,5.10,1
269.07,551.71,6.88,0
1254.15,190.15,6.01,1
787.50,849.60,5.85,1
266.90,651.78,5.22,0
1292.51,535.01,6.54,1
515.90,532.37,5.51,1
360.54,272.22,5.84,1
1084.10,227.04,6.80,1
1001.54,154.77,5.15,1
912.77,275.64,7.26,1
1155.76,104.16,6.83,1
264.39,203.66,7.47,1
339.29,877.61,6.66,0
1184.72,194.61,6.55,1
599.92,583.28,5.78,1
662.90,191.87,7.13,1
720.07,778.29,6.25,1
911.15,550.07,6.87,1
239.80,245.97,4.91,1
1267.11,474.41,6.93,1
1267.73,587.96,6.00,1
758.69,161.79,5.23,1
662.79,801.88,5.23,1
504.88,307.49,5.25,1
778.44,106.32,7.39,1
642.76,849.11,6.73,1
1334.49,176.69,6.67,1
549.32,633.06,6.84,1
229.92,268.99,5.02,1
681.28,878.35,5.82,1
539.77,680.53,6.81,1
396.02,277.24,6.68,1
716.78,879.85,4.82,1
273.04,719.00,5.95,0
1387.53,505.53,5.78,1
312.58,138.40,7.32,1
264.51,279.64,4.94,1
676.78,129.31,5.52,1
261.61,110.84,7.52,1
415.26,497.08,5.93,1
576.67,168.54,6.32,1
1305.56,570.59,7.20,1
847.56,478.96,6.40,1
651.95,592.58,6.83,1
738.85,757.66,5.43,1
338.82,335.61,5.05,1
575.45,186.45,5.03,1
493.82,149.15,6.00,1
273.73,654.49,4.93,0
439.82,314.54,5.85,1
576.72,696.90,6.36,1
1275.31,616.36,6.93,1
1180.16,617.48,7.47,1
1073.62,654.96,5.55,1
356.29,134.06,5.27,1
515.11,634.24,5.60,1
868.67,102.53,4.94,1
356.14,372.86,7.21,1
477.32,431.70,5.81,1
596.45,90.21,6.44,1
314.36,514.86,5.28,0
1051.32,445.90,7.43,1
580.49,830.29,6.09,0
