x y
1.2 0.47983
1.21292 0.49693
1.22583 0.48513
1.23875 0.48981
1.25167 0.49195
1.26458 0.48901
1.2775 0.48633
1.29042 0.49952
1.30333 0.49891
1.31625 0.48616
1.32917 0.51313
1.34208 0.50603
1.355 0.49687
1.36792 0.50807
1.38083 0.50111
1.39375 0.50482
1.40667 0.51123
1.41958 0.50028
1.4325 0.51264
1.44542 0.51896
1.45833 0.51991
1.47125 0.51162
1.48417 0.52031
1.49708 0.50667
1.51 0.51699
1.52292 0.52220
1.53583 0.51305
1.54875 0.52226
1.56167 0.53477
1.57458 0.54184
1.5875 0.53254
1.60042 0.53464
1.61333 0.52574
1.62625 0.52611
1.63917 0.52680
1.65208 0.54048
1.665 0.54375
1.67792 0.53733
1.69083 0.53601
1.70375 0.54707
1.71667 0.54960
1.72958 0.54919
1.7425 0.55990
1.75542 0.55409
1.76833 0.55667
1.78125 0.55290
1.79417 0.56291
1.80708 0.57278
1.82 0.56774
1.83292 0.57054
1.84583 0.57553
1.85875 0.57749
1.87167 0.58197
1.88458 0.58505
1.8975 0.58867
1.91042 0.58340
1.92333 0.59326
1.93625 0.58524
1.94917 0.59993
1.96208 0.59434
1.975 0.60517
1.98792 0.61223
2.00083 0.61079
2.01375 0.61787
2.02667 0.61157
2.03958 0.62051
2.0525 0.63416
2.06542 0.62761
2.07833 0.64308
2.09125 0.63563
2.10417 0.64345
2.11708 0.64741
2.13 0.65927
2.14292 0.66785
2.15583 0.66383
2.16875 0.67490
2.18167 0.69168
2.19458 0.68619
2.2075 0.68956
2.22042 0.70334
2.23333 0.70647
2.24625 0.71063
2.25917 0.71133
2.27208 0.73454
2.285 0.73398
2.29792 0.74548
2.31083 0.74744
2.32375 0.77029
2.33667 0.77593
2.34958 0.78663
2.3625 0.78973
2.37542 0.80321
2.38833 0.81613
2.40125 0.82771
2.41417 0.83465
2.42708 0.84404
2.44 0.85435
2.45292 0.86460
2.46583 0.87638
2.47875 0.89794
2.49167 0.90847
2.50458 0.91271
2.5175 0.93911
