moisture,weight_kg,metal_signal,odor_score,optical_density,conductivity,contaminated
-0.9148,-5.4462,-0.6295,2.3311,3.5580,0.0454,1
1.4685,0.7015,-0.0565,0.7102,0.5824,-0.1820,0
-0.1995,-0.3434,-1.1090,0.9950,1.4953,0.6093,0
1.7756,0.2127,0.0052,0.4230,-0.5244,0.3160,0
-3.4085,-4.2783,-0.6255,0.2000,2.5715,-0.0737,1
-2.0178,-3.0211,-0.0760,1.2344,2.3502,0.1815,1
1.9118,0.3017,-0.6998,-2.4330,-0.1511,0.7577,0
-0.6217,-3.3208,0.7626,0.3770,2.3577,0.0146,1
1.4822,1.5129,-0.1094,-1.5994,-2.5563,0.4954,0
-2.1100,-3.3040,-1.0239,-0.2524,2.4623,0.5859,1
1.7439,0.9584,0.3720,-1.2960,-0.8451,-0.7868,0
-0.7946,-2.6158,0.6485,-0.0856,2.6439,-0.1689,1
1.0394,0.5968,0.8803,-1.2714,-0.1293,-0.0781,0
1.4795,0.4974,-0.1937,-0.4490,-0.4292,-1.1843,0
-3.1575,-2.7941,-0.6643,-1.9938,0.3812,-0.4840,1
1.1901,0.8580,0.9120,0.7144,2.0421,-0.8158,0
0.8010,1.7040,-1.0422,-2.8333,-0.5933,1.1317,0
-0.4846,-4.4197,-1.6209,0.4068,2.2069,0.9535,1
1.1164,2.1133,0.0494,-0.5662,-0.3298,1.3426,0
-2.9627,-2.6855,-1.3253,-0.9140,4.0246,0.9602,1
2.2851,0.5737,0.7056,-0.7803,-0.0522,0.0619,0
-0.1819,-3.9253,0.6451,0.5633,3.7396,0.5125,1
-1.1927,-1.7620,-0.2577,-0.7823,2.7569,0.9849,1
-4.3453,-2.1857,0.5257,-1.7025,2.5088,1.1150,1
-0.1089,0.2937,-0.1510,0.0204,0.5689,0.1212,0
-1.4054,-2.4772,-0.2192,1.0078,4.2430,-0.7746,1
-1.6997,-3.7549,-0.8249,1.1061,2.5618,2.6912,1
1.5510,0.9960,1.6228,0.4171,-2.7804,0.3008,0
-0.8396,-3.4120,-0.0594,0.3969,2.9432,-1.3127,1
-0.9188,0.1585,0.2420,0.8673,-0.6784,-0.6928,0
-0.7765,-3.0615,0.9904,0.6509,0.3456,-0.3301,1
-2.6740,-4.2824,-1.1812,-0.0574,2.1556,-0.2893,1
1.5330,1.0626,0.4710,-0.7364,-2.8435,-1.4723,0
0.1044,0.9286,-0.8992,-1.6171,-0.3216,1.9885,0
1.0303,0.3411,0.8487,-0.5465,-1.1262,1.3348,0
-2.6703,-2.9495,-0.5556,1.9645,1.1532,-0.7588,1
-2.1954,-3.0919,-0.3925,0.1948,3.2141,1.1659,1
0.9744,-0.4758,1.1973,-3.1763,-1.2802,1.0572,0
-2.4658,-1.9753,1.1919,3.2182,3.2370,1.3581,1
0.1567,1.1968,0.5847,-0.9306,-0.6514,-0.1525,0
-3.8234,-2.8773,-0.3346,3.3401,3.6378,0.3849,1
1.6728,1.1575,-0.0677,-1.3955,-2.5483,0.1994,0
-0.0568,-4.7728,-1.3979,1.7348,3.0684,0.8055,1
-1.0286,0.2616,0.6412,0.1387,-0.4278,-0.5291,0
1.5026,-0.1818,-0.5831,-2.6662,0.9595,-0.2907,0
-1.8042,-4.9906,0.1813,1.6178,0.5887,-1.0301,1
2.6443,-0.1785,1.7595,-2.0579,-3.8885,1.5058,0
1.3907,1.1620,-0.2062,-1.4317,0.0880,-0.6813,0
-1.4199,1.3271,-0.4772,0.7931,-1.4336,-0.4536,0
-2.0777,-5.3894,0.2623,0.1353,2.4423,1.5333,1
-1.6283,-2.4203,-0.4122,1.6318,2.9637,1.4458,1
0.7462,1.1117,-0.1973,0.7162,-3.9222,0.1847,0
-1.3576,-3.0302,-0.4296,2.3680,5.0296,-0.3318,1
-1.2608,-0.0314,-0.6807,-1.0715,-0.9730,1.4042,0
0.5358,0.9426,0.0334,-2.1924,-1.0903,2.7517,0
-2.0021,-4.2026,-2.3738,2.2446,2.2192,-0.2736,1
3.3442,1.7781,-1.7502,-1.3498,0.3840,1.0115,0
-3.1089,-1.8130,0.8397,-0.8041,0.4191,-0.9012,1
-1.0367,-2.2003,-0.3945,-0.0835,2.3856,0.7272,1
-0.6723,-1.0537,-0.0944,0.9169,-0.6446,0.3144,0
-2.4945,-2.4567,-2.2419,0.4808,2.1267,0.1162,1
0.0389,1.3917,-0.0597,-1.5756,-0.1304,-0.1646,0
0.1873,0.2228,0.4626,-2.2783,-0.9502,-0.1217,0
1.1860,0.4600,1.9338,-3.3521,-0.1666,-0.2149,0
1.8557,-0.7747,1.2538,-2.9285,-0.3214,0.7068,0
0.7274,-0.0242,-0.5104,-0.7455,-1.3039,-1.4872,0
-1.0672,1.4308,0.8025,-0.4353,-0.8001,0.6943,0
-1.1423,-2.8706,-1.0498,-0.2088,1.3821,0.3839,1
-0.3245,0.5770,1.3161,-1.4086,0.4428,1.8952,0
-1.0513,-0.4106,0.4482,-1.9594,-0.0371,1.1558,0
-2.3542,-2.6173,1.0109,2.3332,1.6299,0.1552,1
0.3245,1.9439,-0.2774,-1.8700,-0.5702,0.6086,0
-1.9310,-3.3338,-0.4414,1.5807,3.7228,0.4573,1
0.2343,1.3472,-0.6267,0.8360,-0.0354,0.5298,0
-4.3271,-1.2103,0.4886,2.6383,2.9902,0.8738,1
1.1259,-3.6839,0.3028,1.6337,3.0927,0.5246,1
-2.6681,-2.3216,-1.7627,3.3338,3.7959,-0.4372,1
-3.8086,-2.9005,0.0586,-0.2490,4.5693,0.6740,1
0.6236,-0.3013,0.1814,-1.2039,0.1900,1.1402,0
1.2116,1.0792,0.9408,-0.3857,-0.8783,1.1398,0
0.4685,1.2085,0.2455,-2.3601,-0.0123,0.1110,0
-0.9198,-4.0799,0.3256,2.5540,2.4226,0.0665,1
1.0252,0.6790,1.0341,-1.7432,-1.9987,-0.2307,0
0.4164,-3.5322,-1.5003,-0.4830,2.9699,1.4191,1
0.4545,1.1281,0.2376,-0.1949,-0.6812,1.0294,0
-1.1480,-3.4793,1.4328,-1.1781,1.0157,1.1682,1
-1.5542,-3.2355,-0.1523,1.8676,2.1157,-0.3406,1
-2.4054,-3.8731,-1.2326,2.1645,2.9533,0.8144,1
0.3351,1.7567,-1.0590,-0.3642,-0.1548,-0.3400,0
-0.1075,1.0180,-0.5271,-2.0995,-0.9274,-0.7301,0
-1.9972,-1.1570,-0.9421,1.9972,1.3561,0.2739,1
0.6389,0.3571,0.8777,2.0834,-1.1159,1.5414,0
-1.3204,-2.7056,-0.8993,-0.2160,2.4556,-0.5928,1
-1.5734,-4.0867,-0.5251,1.2724,4.7978,2.0809,1
1.6072,0.1265,0.5234,0.2789,-0.8514,-0.6595,0
-3.3985,-3.0010,1.0104,0.4331,3.3849,0.6021,1
1.5013,0.9846,-1.5229,-1.0896,-0.3343,0.2900,0
-0.3742,-3.6109,0.3687,3.2851,2.5958,0.3538,1
-2.0612,-2.3951,-2.4748,-1.1562,2.2905,1.0398,1
-0.9683,-3.6814,0.5931,1.1207,2.1264,0.9812,1
-0.4744,-3.2046,-1.8868,0.1876,2.5593,1.3148,1
-2.6903,-3.1807,-1.3534,1.0237,0.8303,-0.1165,1
-3.1786,-4.0465,-2.1617,-2.0488,4.0594,1.5354,1
1.5071,0.2901,1.0547,-1.3428,-0.3203,1.3182,0
1.3389,1.7692,0.2788,-1.0092,-0.3941,-1.1768,0
-2.8450,-2.3392,-2.0561,2.4324,2.9655,1.4562,1
-0.9722,-2.4455,0.8048,0.6916,2.7826,1.4582,1
0.1783,2.0471,0.3764,-1.4460,-2.1973,-1.2662,0
2.9535,-0.6270,-0.8695,0.2246,0.1271,0.4873,0
-1.5748,-3.4725,-1.2145,-0.3242,3.4243,1.3413,1
2.2145,0.6626,-1.6703,0.0428,-0.8883,-2.1773,0
-0.3170,-3.0069,-0.6252,1.0711,2.8606,0.5685,1
0.9857,0.5809,0.7332,-0.4619,2.1139,0.5639,0
0.6950,0.4506,0.6350,-0.4302,-0.4831,0.2824,0
0.8693,1.3739,1.3363,-0.2593,-0.9870,-0.6818,0
-0.2038,0.7895,-0.2250,-0.8778,-2.1367,0.3547,0
-1.1615,-0.2414,-0.8522,0.0621,-1.4702,-0.4924,0
-1.2416,-3.3285,0.0039,1.1785,3.0315,0.1885,1
-0.9735,-3.7947,-1.9207,1.9426,2.2759,0.5563,1
-1.0014,-1.9542,-2.7537,-0.7881,4.2717,-1.1612,1
-1.1196,-3.5625,-1.2292,0.6114,0.8452,0.7666,1
-0.4642,-4.1289,-1.2179,2.6820,3.3531,0.0889,1
-0.2784,-4.5473,-0.8611,0.9848,2.1924,1.3865,1
-3.4522,-2.9751,-1.2559,2.5298,3.9666,-0.3890,1
-0.3417,0.4147,-0.7655,-1.7249,0.0145,-0.2165,0
2.6957,0.8296,-0.2421,-2.4805,-1.3739,0.9809,0
-0.9578,-2.1455,0.2994,1.3872,1.6323,0.0906,1
-1.7485,-4.3445,-0.5005,-0.7132,2.4812,-0.1882,1
-1.1484,-0.6632,-1.6366,0.7744,5.1040,-0.3323,1
0.8121,0.6173,0.4406,-3.1522,-0.4721,0.7729,0
3.6836,0.3143,-0.4441,-0.5754,-3.8857,0.5501,0
2.5343,0.8601,0.2145,-1.4020,-0.4320,-1.0157,0
-0.2146,-3.5490,-1.1625,3.1416,2.6264,-0.2917,1
2.6717,1.0564,0.7373,-1.8757,-3.1965,0.5787,0
-0.2376,-3.6204,-0.1081,1.8731,3.3725,0.4044,1
1.8174,0.8550,-0.1378,0.4710,0.4277,0.5631,0
-0.9426,-5.2623,-0.3294,0.8368,0.2123,2.2920,1
1.3372,0.3357,-0.0456,-0.4970,-0.5851,-1.3456,0
0.6575,0.7495,0.4409,0.3595,-1.8671,-0.1288,0
1.2808,0.3916,0.3199,-2.2040,0.1550,0.3872,0
1.5041,0.8151,-0.4427,-2.5649,-0.6546,-0.4039,0
-3.1668,-3.6974,0.0215,2.8427,3.5957,1.8579,1
-2.2612,-3.4791,-1.2392,-0.2202,4.6232,0.6464,1
-0.9169,-1.1815,1.0979,-0.0966,3.8564,-0.2018,1
-0.9491,-4.7702,-1.3559,-0.2879,5.0432,-1.2221,1
2.1413,1.5418,0.3372,0.1826,2.4976,0.7234,0
-2.0222,-2.0343,0.0753,-0.7038,2.9819,0.6985,1
-0.3866,-0.0062,-0.2041,-2.5546,0.1864,0.7214,0
-3.8673,-3.3438,-0.4163,-0.8388,2.3645,0.6207,1
-0.6567,0.5821,-2.0980,0.3826,-1.5423,-1.1542,0
