tension,elongation
2.4014,3.2136
2.7286,3.9345
2.0984,2.9134
1.4203,1.7952
1.8999,2.137
1.3092,1.7171
2.4662,3.094
3.8742,5.7395
1.8586,2.0066
1.7175,2.135
2.9388,4.006
2.7926,3.3915
2.516,3.8906
1.3765,2.1029
2.3678,3.0126
3.1648,4.5787
0.9214,1.0957
1.8966,1.6608
0.3087,0.1382
0.9815,1.0538
0.3741,0.1861
2.1414,2.489
1.0058,1.0279
2.6984,3.5941
2.5724,3.815
2.1944,2.9919
0.2,-0.1017
1.8074,2.7698
2.3466,2.9533
2.5246,3.2701
0.7169,0.1303
1.8745,2.8825
1.3236,1.8747
1.5103,2.1405
3.567,5.1512
1.5117,1.9006
2.3642,3.2109
3.3728,4.5836
1.758,2.1759
2.2771,3.0319
2.5215,3.8358
2.4702,3.472
1.0524,1.1611
2.4838,3.1519
3.8947,5.2516
0.6981,1.128
3.3453,4.77
2.5313,3.4172
1.6944,2.0377
4.6005,6.168
3.2385,4.4377
1.0808,1.4833
2.482,3.2052
3.0344,4.0834
2.1923,2.8221
3.1512,4.3597
2.3268,2.6123
3.134,4.2304
3.9824,5.3173
1.6568,2.3506
2.6235,3.3041
1.8904,2.6087
2.54,3.8673
1.0941,1.1471
1.7628,2.0637
2.1842,2.9337
3.3886,4.6823
3.6597,4.7915
0.9441,1.1544
1.5259,2.4935
3.1116,4.19
0.2083,-0.1484
1.8905,2.1223
2.293,3.1352
3.7827,4.9
3.1583,4.0054
2.0401,3.0441
1.9946,2.3203
2.1248,3.1116
4.0759,6.1712
1.9292,2.5716
2.066,2.865
2.7878,4.3674
2.2672,2.9418
2.183,2.6966
1.1745,0.9558
2.3873,3.1935
1.9121,2.9119
3.6827,5.4119
3.1184,3.995
2.3734,2.9035
3.1352,4.1515
2.0261,2.7268
3.5573,4.8744
2.3941,3.2555
3.0417,4.2516
0.98,0.9804
2.7813,3.7599
0.543,0.4765
0.2,-0.1252
2.0651,2.8487
1.4101,2.2764
2.5805,3.6483
4.8692,6.9205
1.4851,1.3218
1.7137,2.2869
2.6259,2.9548
2.9423,3.5907
2.206,3.1654
2.1735,3.0721
3.1727,4.3141
2.9719,3.5448
1.263,1.3831
2.3129,2.8657
2.4388,3.4493
1.2401,2.1375
2.6858,3.6938
1.4562,1.5505
3.4693,4.4528
2.612,3.5012
2.4982,3.2943
1.7499,1.8794
2.2695,3.0392
0.2025,-0.4415
1.1555,1.6669
2.7991,4.1174
0.2,0.2254
3.3313,4.4547
0.4793,0.4733
3.2324,4.409
1.47,1.6884
3.2569,4.3836
2.544,3.0261
0.7095,0.2311
3.7741,5.4994
3.9859,5.5215
2.3276,3.1563
2.0987,3.0486
2.2241,2.4162
1.3273,1.3557
3.6084,5.0652
1.8028,2.4218
2.3437,3.0024
1.5274,2.1999
1.7113,2.2301
0.9945,0.7277
3.7828,4.995
2.2305,3.1874
3.4625,4.9329
2.4147,2.6523
1.6362,2.4586
2.0406,2.8403
1.7837,2.6786
2.4088,3.0981
1.9872,2.4921
2.0701,2.3672
0.8836,1.6865
1.5125,1.8161
4.2195,6.4055
1.6616,1.8982
1.2405,1.5099
2.7711,3.2552
3.948,5.4071
0.8006,1.096
2.1706,2.4804
1.7047,2.4787
0.4629,0.3955
3.2084,4.0994
2.3742,3.0108
2.4786,3.1802
1.5725,1.9439
2.9003,3.7896
1.8068,2.062
2.2428,2.8728
1.1809,1.0633
1.0623,0.8066
3.8691,5.3892
1.8422,2.6282
2.7208,3.2224
2.3628,3.1453
1.9147,2.2771
1.8412,2.0687
3.0931,4.4957
2.0679,2.5464
2.2334,3.3996
2.4244,3.0026
3.6942,5.2573
3.1486,4.2547
2.8209,3.6051
1.7801,2.4465
0.8798,0.8732
3.4445,4.9477
3.4631,4.7805
2.2452,2.6421
2.9961,4.0635
3.2596,4.505
3.3143,4.859
3.4135,4.4484
1.8988,2.4364
4.0665,5.1832
1.0287,1.3385
3.3479,4.2974
2.9433,3.473
3.361,4.6237
4.4669,6.6321
4.0329,5.192
1.1403,0.984
0.5425,0.1908
3.2986,4.2091
1.2835,1.6391
2.3864,2.9374
3.3237,4.3691
0.5918,0.6627
0.2,-0.3267
2.6852,3.7576
2.4488,2.9818
2.1296,2.4308
2.4424,2.713
1.4534,2.3385
0.7352,0.6067
2.2167,2.9982
1.3311,1.5873
0.5922,0.5363
2.9562,4.0492
2.3325,3.6712
2.8472,3.5591
1.3118,1.1005
1.6761,1.8106
1.3011,1.1512
1.4247,1.9611
2.6149,3.7685
1.5387,1.6197
2.7917,3.3704
2.7737,3.6541
4.6277,6.9589
0.8679,0.056
3.3767,4.823
2.3016,2.7297
2.3846,3.489
0.8051,0.4843
1.8938,2.3551
3.2175,3.9744
2.3093,2.7708
2.4892,3.7496
2.0802,2.9665
3.67,4.9845
2.3764,2.9035
0.2,-0.6681
1.6387,1.94
0.2343,-0.0578
0.2,-0.1252
1.8169,2.2972
3.8669,5.0638
2.4518,3.2578
1.1102,1.2537
1.3652,2.035
3.6437,5.6256
2.5734,3.419
2.4528,3.0493
2.3412,3.0923
