location,sensor,reading,unit,timestamp
north-rack,aht,23.8,c,2026-01-14T09:12:03Z
north-rack,hum,41.2,pct,2026-01-14T09:12:03Z
south-rack,aht,24.9,c,2026-01-14T09:12:04Z
south-rack,hum,38.7,pct,2026-01-14T09:12:04Z
east-cab,psu,12.4,v,2026-01-14T09:12:05Z
west-cab,psu,12.2,v,2026-01-14T09:12:05Z
core-a,fan,5400,rpm,2026-01-14T09:12:06Z
core-b,fan,5300,rpm,2026-01-14T09:12:06Z
storage-1,nvme,44.0,c,2026-01-14T09:13:01Z
storage-2,nvme,43.2,c,2026-01-14T09:13:01Z
storage-1,nvme-health,99.6,pct,2026-01-14T09:13:02Z
storage-2,nvme-health,99.1,pct,2026-01-14T09:13:02Z
edge-1,link,920,mbit,2026-01-14T09:13:03Z
edge-2,link,880,mbit,2026-01-14T09:13:03Z
edge-1,latency,1.2,ms,2026-01-14T09:13:04Z
edge-2,latency,1.4,ms,2026-01-14T09:13:04Z
