# kedd workload - one event per line: ordinal,payload,width
# visible sample: uniform widths, 9 events per 10
# seed=271828 n=900 (deterministic)

0,_swell-000,1502
1,bell-001,301
2,swell-002,191
3,raven-003,589
4,raven-004,474
5,holm-005,1219
6,dune-006,695
7,tide-007,881
8,light-008,1346
9,fog-009,700
10,dune-010,1113
11,_spar-011,364
12,course-012,1476
13,bluff-013,787
14,tide-014,512
15,raven-015,1370
16,cove-016,889
17,bluff-017,310
18,dune-018,1277
19,reef-019,290
20,dune-020,1179
21,light-021,671
22,_holm-022,1347
23,toll-023,207
24,reef-024,796
25,bell-025,1566
26,fog-026,991
27,course-027,1278
28,keel-028,1543
29,bar-029,781
30,skerry-030,1699
31,bluff-031,1511
32,floe-032,251
33,_bluff-033,253
34,dune-034,236
35,fog-035,1275
36,bluff-036,261
37,course-037,696
38,bar-038,726
39,light-039,426
40,toll-040,314
41,dune-041,662
42,keel-042,823
43,keel-043,432
44,_gale-044,1299
45,cove-045,850
46,tide-046,395
47,floe-047,1401
48,fog-048,1218
49,cove-049,343
50,swell-050,466
51,keel-051,1089
52,reef-052,1337
53,dune-053,995
54,light-054,774
55,_toll-055,1005
56,spar-056,478
57,raven-057,1695
58,floe-058,1749
59,dune-059,181
60,holm-060,635
61,floe-061,189
62,skerry-062,1361
63,keel-063,314
64,course-064,949
65,gale-065,1265
66,_cove-066,119
67,light-067,479
68,bar-068,1447
69,dune-069,576
70,cove-070,630
71,cove-071,1204
72,bell-072,1142
73,skerry-073,939
74,floe-074,1315
75,skerry-075,1444
76,bell-076,1506
77,_keel-077,1669
78,raven-078,517
79,swell-079,1268
80,cove-080,725
81,holm-081,835
82,swell-082,323
83,light-083,180
84,bar-084,1028
85,cove-085,1541
86,keel-086,1134
87,swell-087,832
88,_gale-088,1339
89,skerry-089,824
90,fog-090,1305
91,holm-091,851
92,dune-092,870
93,swell-093,1664
94,skerry-094,815
95,raven-095,1384
96,light-096,1064
97,fog-097,562
98,toll-098,877
99,_tide-099,1398
100,swell-100,1690
101,spar-101,649
102,dune-102,779
103,gale-103,796
104,cove-104,820
105,fog-105,690
106,keel-106,1069
107,tide-107,219
108,bell-108,1177
109,skerry-109,761
110,_toll-110,1586
111,bell-111,580
112,boom-112,939
113,skerry-113,1371
114,fog-114,1487
115,dune-115,787
116,skerry-116,1406
117,keel-117,374
118,reef-118,906
119,bell-119,337
120,fog-120,1282
121,_spar-121,1092
122,course-122,979
123,toll-123,1280
124,bar-124,137
125,skerry-125,1245
126,keel-126,1570
127,bell-127,155
128,raven-128,785
129,bell-129,861
130,tide-130,1458
131,bluff-131,1726
132,_bluff-132,900
133,raven-133,913
134,dune-134,1357
135,fog-135,210
136,skerry-136,813
137,tide-137,1434
138,cove-138,218
139,fog-139,854
140,swell-140,448
141,keel-141,423
142,keel-142,677
143,_bluff-143,1388
144,holm-144,1013
145,raven-145,405
146,toll-146,331
147,dune-147,1668
148,keel-148,179
149,cove-149,129
150,keel-150,431
151,spar-151,476
152,fog-152,104
153,bell-153,1060
154,_bluff-154,267
155,light-155,1068
156,bluff-156,1428
157,cove-157,755
158,toll-158,1308
159,spar-159,1000
160,bell-160,561
161,swell-161,1322
162,bell-162,1183
163,bar-163,374
164,light-164,145
165,_boom-165,267
166,cove-166,169
167,holm-167,1225
168,holm-168,1669
169,swell-169,1282
170,tide-170,1406
171,bar-171,717
172,boom-172,1745
173,skerry-173,1315
174,course-174,380
175,keel-175,1469
176,_spar-176,1555
177,toll-177,1740
178,skerry-178,225
179,fog-179,527
180,bluff-180,1339
181,floe-181,161
182,skerry-182,1626
183,bar-183,585
184,skerry-184,148
185,light-185,608
186,bar-186,692
187,_toll-187,1445
188,gale-188,1724
189,boom-189,1579
190,fog-190,412
191,course-191,886
192,keel-192,1305
193,bar-193,305
194,light-194,1149
195,boom-195,220
196,boom-196,954
197,dune-197,1303
198,_skerry-198,999
199,fog-199,704
200,bell-200,1217
201,light-201,1657
202,cove-202,538
203,course-203,326
204,dune-204,1628
205,gale-205,615
206,dune-206,397
207,floe-207,835
208,course-208,1685
209,_light-209,1069
210,bluff-210,950
211,fog-211,276
212,raven-212,1292
213,light-213,1258
214,holm-214,894
215,keel-215,900
216,dune-216,555
217,bluff-217,857
218,dune-218,782
219,bell-219,1435
220,_dune-220,914
221,bluff-221,1099
222,swell-222,1543
223,gale-223,418
224,reef-224,221
225,skerry-225,1506
226,light-226,776
227,dune-227,1744
228,floe-228,1606
229,cove-229,926
230,bar-230,552
231,_toll-231,1594
232,tide-232,1369
233,skerry-233,385
234,course-234,1116
235,toll-235,1749
236,gale-236,195
237,swell-237,503
238,course-238,741
239,bar-239,1379
240,bell-240,370
241,reef-241,1075
242,_keel-242,234
243,spar-243,1699
244,bell-244,1258
245,bluff-245,863
246,course-246,940
247,tide-247,1429
248,toll-248,891
249,holm-249,357
250,spar-250,597
251,toll-251,1224
252,bluff-252,1670
253,_bluff-253,865
254,raven-254,473
255,swell-255,283
256,keel-256,157
257,raven-257,654
258,reef-258,737
259,course-259,779
260,raven-260,629
261,toll-261,747
262,fog-262,375
263,bell-263,1507
264,_holm-264,330
265,course-265,987
266,bar-266,121
267,gale-267,1156
268,floe-268,875
269,cove-269,1502
270,skerry-270,1131
271,dune-271,1675
272,toll-272,949
273,reef-273,575
274,keel-274,709
275,_boom-275,1029
276,course-276,1090
277,tide-277,659
278,bluff-278,153
279,keel-279,1553
280,bluff-280,505
281,cove-281,258
282,reef-282,957
283,floe-283,1647
284,keel-284,500
285,bluff-285,1071
286,_fog-286,238
287,spar-287,1009
288,gale-288,1144
289,reef-289,291
290,course-290,652
291,course-291,1494
292,tide-292,1214
293,course-293,971
294,gale-294,676
295,keel-295,873
296,boom-296,943
297,_bluff-297,340
298,fog-298,852
299,swell-299,1614
300,fog-300,1331
301,spar-301,1451
302,floe-302,1686
303,spar-303,1728
304,light-304,849
305,light-305,191
306,boom-306,1495
307,raven-307,1393
308,_floe-308,878
309,boom-309,983
310,reef-310,1717
311,swell-311,699
312,bar-312,132
313,spar-313,494
314,swell-314,842
315,raven-315,962
316,keel-316,279
317,bell-317,1605
318,holm-318,373
319,_bell-319,364
320,skerry-320,1493
321,light-321,281
322,bell-322,397
323,toll-323,406
324,course-324,1746
325,keel-325,1641
326,holm-326,579
327,tide-327,405
328,cove-328,1071
329,bell-329,996
330,_tide-330,846
331,light-331,1232
332,fog-332,1598
333,skerry-333,1302
334,reef-334,506
335,gale-335,325
336,keel-336,1036
337,reef-337,259
338,reef-338,1393
339,holm-339,1403
340,reef-340,750
341,_holm-341,1099
342,tide-342,730
343,fog-343,1377
344,holm-344,1033
345,skerry-345,1585
346,gale-346,424
347,light-347,1325
348,floe-348,643
349,spar-349,275
350,cove-350,735
351,reef-351,374
352,_bell-352,1042
353,keel-353,496
354,raven-354,1569
355,skerry-355,449
356,gale-356,1016
357,toll-357,212
358,holm-358,1692
359,dune-359,1395
360,light-360,1636
361,spar-361,319
362,course-362,469
363,_cove-363,1342
364,toll-364,1123
365,toll-365,1161
366,floe-366,249
367,dune-367,897
368,course-368,1743
369,gale-369,1015
370,toll-370,337
371,bell-371,920
372,tide-372,1303
373,dune-373,1113
374,_floe-374,1117
375,bar-375,1102
376,course-376,611
377,boom-377,1322
378,keel-378,252
379,boom-379,393
380,floe-380,1339
381,toll-381,1075
382,keel-382,204
383,light-383,1085
384,tide-384,869
385,_boom-385,365
386,dune-386,1488
387,raven-387,273
388,boom-388,593
389,reef-389,563
390,bluff-390,1104
391,fog-391,1594
392,gale-392,327
393,toll-393,1662
394,boom-394,1688
395,raven-395,1184
396,_raven-396,537
397,boom-397,686
398,tide-398,614
399,toll-399,936
400,gale-400,1497
401,bar-401,482
402,light-402,1286
403,gale-403,773
404,swell-404,1017
405,reef-405,933
406,reef-406,1548
407,_fog-407,718
408,swell-408,757
409,bell-409,291
410,holm-410,948
411,floe-411,630
412,course-412,907
413,boom-413,659
414,fog-414,1698
415,bar-415,1749
416,skerry-416,559
417,light-417,829
418,_tide-418,1097
419,gale-419,1259
420,holm-420,1718
421,light-421,996
422,swell-422,1582
423,spar-423,922
424,gale-424,1694
425,holm-425,1020
426,holm-426,1524
427,holm-427,1025
428,gale-428,1074
429,_swell-429,294
430,raven-430,1566
431,cove-431,1112
432,cove-432,1007
433,spar-433,1090
434,reef-434,480
435,keel-435,652
436,dune-436,142
437,dune-437,1289
438,raven-438,1067
439,fog-439,206
440,_bluff-440,597
441,holm-441,1183
442,spar-442,1545
