North Gate Sector 2
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite02a kite02b kite02c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 0202-0202 spiral delta-0202
North Gate Sector 4
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite04a kite04b kite04c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 0404-0404 spiral delta-0404
North Gate Sector 6
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite06a kite06b kite06c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 0606-0606 spiral delta-0606
North Gate Sector 8
  azimuth=108.7 elevation=608.1 wind=108.3 gust=108.9
  bearing marks: kite08a kite08b kite08c
  clearance 9080 m ceiling 10800 m datum 20800
  beacon 0808-0808 spiral delta-0808
North Gate Sector 10
  azimuth=100.7 elevation=600.1 wind=100.3 gust=100.9
  bearing marks: kite10a kite10b kite10c
  clearance 9000 m ceiling 10000 m datum 20000
  beacon 1010-1010 spiral delta-1010
North Gate Sector 12
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite12a kite12b kite12c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 1212-1212 spiral delta-1212
North Gate Sector 14
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite14a kite14b kite14c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 1414-1414 spiral delta-1414
North Gate Sector 16
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite16a kite16b kite16c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 1616-1616 spiral delta-1616
North Gate Sector 18
  azimuth=108.7 elevation=608.1 wind=108.3 gust=108.9
  bearing marks: kite18a kite18b kite18c
  clearance 9080 m ceiling 10800 m datum 20800
  beacon 1818-1818 spiral delta-1818
North Gate Sector 20
  azimuth=100.7 elevation=600.1 wind=100.3 gust=100.9
  bearing marks: kite20a kite20b kite20c
  clearance 9000 m ceiling 10000 m datum 20000
  beacon 2020-2020 spiral delta-2020
North Gate Sector 22
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite22a kite22b kite22c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 2222-2222 spiral delta-2222
North Gate Sector 24
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite24a kite24b kite24c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 2424-2424 spiral delta-2424
North Gate Sector 26
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite26a kite26b kite26c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 2626-2626 spiral delta-2626
North Gate Sector 28
  azimuth=108.7 elevation=608.1 wind=108.3 gust=108.9
  bearing marks: kite28a kite28b kite28c
  clearance 9080 m ceiling 10800 m datum 20800
  beacon 2828-2828 spiral delta-2828
North Gate Sector 30
  azimuth=100.7 elevation=600.1 wind=100.3 gust=100.9
  bearing marks: kite30a kite30b kite30c
  clearance 9000 m ceiling 10000 m datum 20000
  beacon 3030-3030 spiral delta-3030
North Gate Sector 32
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite32a kite32b kite32c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 3232-3232 spiral delta-3232
North Gate Sector 34
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite34a kite34b kite34c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 3434-3434 spiral delta-3434
North Gate Sector 36
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite36a kite36b kite36c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 3636-3636 spiral delta-3636
North Gate Sector 38
  azimuth=108.7 elevation=608.1 wind=108.3 gust=108.9
  bearing marks: kite38a kite38b kite38c
  clearance 9080 m ceiling 10800 m datum 20800
  beacon 3838-3838 spiral delta-3838
North Gate Sector 40
  azimuth=100.7 elevation=600.1 wind=100.3 gust=100.9
  bearing marks: kite40a kite40b kite40c
  clearance 9000 m ceiling 10000 m datum 20000
  beacon 4040-4040 spiral delta-4040
North Gate Sector 42
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite42a kite42b kite42c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 4242-4242 spiral delta-4242
North Gate Sector 44
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite44a kite44b kite44c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 4444-4444 spiral delta-4444
North Gate Sector 46
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite46a kite46b kite46c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 4646-4646 spiral delta-4646
North Gate Sector 48
  azimuth=108.7 elevation=608.1 wind=108.3 gust=108.9
  bearing marks: kite48a kite48b kite48c
  clearance 9080 m ceiling 10800 m datum 20800
  beacon 4848-4848 spiral delta-4848
North Gate Sector 50
  azimuth=100.7 elevation=600.1 wind=100.3 gust=100.9
