temp_c,vib_mm_s,oil_bar,load_pct,runtime_h,fault
1.812,-0.729,-1.086,-0.402,-1.153,1
1.508,0.880,0.638,1.410,-0.601,0
-1.314,0.347,0.309,-0.856,0.536,1
1.472,-0.533,0.195,0.344,0.486,1
1.023,0.588,1.400,-0.810,-0.472,1
0.820,-0.442,-0.560,-0.045,0.352,1
-0.498,0.593,1.388,-1.784,-2.287,1
0.753,-0.796,1.456,2.869,-0.142,1
-0.384,-0.007,0.282,-0.045,-0.904,0
0.414,-2.019,0.393,0.100,1.308,1
0.163,0.485,-0.946,0.174,0.777,0
1.021,0.119,1.585,1.275,-0.652,1
-2.468,-1.098,0.068,0.159,-0.294,0
-0.420,0.649,-0.588,-2.127,-0.310,1
1.018,-0.851,0.640,0.575,-0.016,1
0.409,-0.918,0.060,1.500,-0.076,0
-1.102,1.464,-1.361,1.652,0.095,0
0.618,0.354,0.020,1.078,-0.077,0
-0.817,0.045,-1.745,-0.143,-1.772,0
0.024,0.729,0.646,-0.137,-2.694,0
-0.469,1.284,-0.611,0.554,-0.648,0
1.597,-2.087,-0.501,-0.364,0.526,1
0.046,0.174,-2.275,1.997,0.208,0
-0.626,1.393,-1.109,0.357,1.011,0
0.785,0.258,-0.074,-0.992,0.352,1
-1.266,1.079,0.882,0.038,-1.894,0
0.672,0.665,-1.056,-0.386,0.177,1
0.733,-0.341,-0.798,-0.488,-0.947,0
1.792,1.854,-2.020,-0.374,1.577,1
1.415,1.978,1.270,0.478,0.321,0
1.407,0.465,-1.625,0.167,-1.759,0
0.838,0.350,-0.121,0.288,-1.707,0
-0.497,-0.583,0.108,-0.200,0.187,1
0.234,-1.378,-1.221,1.132,-0.840,0
-0.162,0.805,-0.327,2.172,-0.913,0
-0.607,-2.016,0.843,-0.386,0.617,1
0.515,2.441,0.556,-0.409,-0.452,0
0.799,-1.900,-0.499,-1.533,-0.964,1
1.200,-0.909,-0.450,0.839,-1.538,0
0.117,-1.198,0.200,-0.450,1.011,1
-0.082,0.471,1.444,-0.074,1.342,1
0.721,0.933,-0.712,0.224,0.161,0
0.756,1.140,1.026,0.646,-0.513,1
-0.450,0.520,-1.126,-0.316,-0.083,0
0.481,0.592,-1.139,0.677,-1.880,0
-0.624,0.935,-0.282,0.440,2.512,0
-0.198,-0.172,-2.076,0.347,1.435,1
0.214,0.096,2.975,0.179,0.177,1
0.125,-0.998,0.773,1.307,1.109,1
0.861,-0.722,-0.453,2.836,-1.218,0
-1.371,-0.024,-1.489,-1.222,-1.459,0
-1.167,-0.212,0.731,0.134,0.767,0
-0.403,-2.677,-0.788,-1.740,0.219,1
0.505,-0.624,-0.168,0.590,1.160,1
-0.767,0.901,-0.519,0.849,-2.686,0
-0.451,0.337,-1.289,-2.562,-1.247,0
-0.311,0.397,0.573,-0.059,-1.561,0
-1.143,0.469,0.886,0.077,1.906,0
-0.645,-0.045,0.175,-0.245,-1.361,0
-1.387,0.020,0.410,1.795,0.048,0
-2.779,-1.431,-1.676,-0.962,0.471,0
0.293,0.290,-1.444,-0.383,-0.047,1
2.083,1.329,-0.191,0.876,0.126,0
-0.299,-0.351,-1.774,1.565,0.129,0
-1.190,-0.460,-0.589,-0.180,-0.498,0
1.627,-1.708,1.045,-0.138,0.964,1
-0.532,-0.989,0.194,2.129,-1.226,0
0.738,1.441,0.507,-0.102,2.063,1
0.073,0.837,0.261,0.575,-0.477,0
-0.723,1.274,0.081,0.606,-1.111,0
0.978,1.369,0.198,-1.576,0.803,1
-1.627,0.599,0.863,-1.270,-0.691,0
-1.394,-0.880,-1.443,-1.709,-1.766,0
0.657,0.180,1.095,-0.349,1.370,1
-1.293,-0.106,-0.292,-1.190,-0.935,0
-1.342,-0.004,-0.790,0.354,0.276,0
-0.244,-0.773,-0.384,0.750,0.161,0
-0.411,-0.316,1.767,-0.409,-0.267,1
0.645,-0.461,-1.420,-0.812,-0.416,1
-0.078,-0.255,-0.987,0.064,0.667,0
