txn_id,date,direction,partner_country,commodity_code,value_eur,quantity_kg
D101,2024-03-15,dispatch,FR,271019,200.00,60.5
D102,2024-05-02,dispatch,FR,271019,300.00,89.5
D103,2024-01-20,dispatch,DE,847130,900.00,2
D104,2024-06-11,dispatch,DE,847130,120.50,1.0
D105,2024-02-14,dispatch,NL,620462,300.00,40.000
D106,2024-07-19,dispatch,NL,620462,150.00,20.000
D107,2024-08-01,dispatch,AT,220300,499.99,25
D108,2024-04-05,arrival,IT,090121,400.00,25.0
D109,2024-09-13,arrival,IT,090121,350.50,30
D110,2024-03-03,arrival,ES,080510,512.75,1000.0
D111,2024-10-22,arrival,ES,080510,310.00,500
D112,2024-05-30,arrival,PL,940350,200.00,4
D113,2024-11-05,arrival,PL,940350,200.00,3
D114,2024-12-24,arrival,PL,940350,150.00,3
D115,2024-06-30,arrival,SE,220421,1200.00,500.5
D116,2024-04-20,dispatch,IE,100630,0.00,0
D301,2024-04-01,export,DE,271019,10.00,1.000
D302,2024-04-02,dispatch,ZZ,271019,10.00,1.000
D303,2024-04-03,dispatch,FR,999999,10.00,1.000
D304,2024-02-30,dispatch,FR,271019,10.00,1.000
D305,2024/03/01,dispatch,DE,847130,5.00,0.500
D306,2024-04-06,arrival,IT,090121,abc,2.000
D307,2024-04-07,arrival,ES,080510,-5.00,3.000
D308,2024-04-08,dispatch,NL,620462,10.123,1.000
D309,2024-04-09,dispatch,AT,220300,100.00,x
D310,2024-04-10,dispatch,AT,220300,50.00,1.0000
D311,2024-04-11,dispatch,FR,271019,"1,000.00",5.000
D312,2024-04-12,dispatch
D313,2024-04-13,dispatch,FR,271019,10.00,1.000,extra
D314,2024-04-14,dispatch,,271019,10.00,1.000
D315,2024-04-15,dispatch,de,271019,10.00,1.000
D316,2025-13-99,export,QX,777777,nan,-2
D317,2024-04-17,dispatch,FR,271019, 10.00,1.000
