id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,label
r00000,-1.178842,-1.148161,0.669469,-2.293910,-0.143384,-2.256077,1.100972,0.202898,1.356316,-0.504183,0.398195,-0.285877,-0.738327,0.145324,-1.257208,-0.354662,0
r00001,0.696596,0.057529,-0.410288,2.189470,0.058173,-0.586839,0.159566,-0.522800,-0.385104,-0.350208,2.025256,0.022586,0.175562,0.674201,2.016879,-0.223677,0
r00002,-0.623876,2.474637,-1.459633,-0.367188,0.666883,2.283613,-0.949903,-2.427745,0.661642,-0.521653,-0.387472,0.461307,0.223679,0.291006,-0.431129,1.289310,0
r00003,1.504984,0.031996,-0.451909,0.733337,0.477794,-1.040401,-0.460232,1.049157,-0.096268,-0.328804,0.212459,-0.033514,-0.002486,-1.930574,1.749312,0.199442,0
r00004,-0.876621,0.979538,0.308864,0.017637,1.048009,2.260946,0.553609,1.585097,2.157307,-1.020864,-0.523181,0.776306,-1.707999,-0.267241,1.292889,1.043194,1
r00005,0.579500,-1.895269,2.350897,0.550851,0.767089,0.494824,-1.716206,-1.434865,-1.216588,1.918115,-0.831000,-0.242244,-0.254732,0.570851,0.500619,0.267875,1
r00006,-1.261623,-3.138836,0.166486,0.267999,1.230650,-0.103088,-0.611132,0.410359,-1.554340,-1.041549,-1.006324,0.287809,2.091125,0.763365,1.141931,0.238138,1
r00007,0.279030,-0.449424,-0.281182,-2.429889,-1.202516,-1.287005,0.837011,0.663098,1.141867,1.556075,-0.305292,1.055451,1.955615,-0.008602,1.086890,-0.165100,1
r00008,-1.612624,0.120200,-0.822195,0.108897,-0.463127,0.319918,-2.137219,2.084149,1.359813,-0.350818,-0.909072,0.003870,0.675527,0.423584,0.401679,-1.969592,0
r00009,-1.130595,1.343698,0.239968,-1.521401,-0.868493,-1.448083,-1.020981,1.181340,-0.222147,1.131588,0.189641,-1.520561,-0.656378,2.321642,-0.776991,-1.065098,0
r00010,1.255116,0.091488,-0.006492,1.492402,-1.792305,0.425069,-1.073837,-1.429038,-0.829328,1.173975,-0.143410,-1.871403,-1.131296,1.556167,1.044668,-1.113703,0
r00011,2.476016,-0.374286,-1.219731,-0.139622,0.956868,1.645527,1.051950,-0.436649,-0.573814,-1.488096,-0.075609,-0.609384,0.250128,-1.294784,-0.528841,-0.901396,0
r00012,-1.230445,-1.211071,-1.041683,-1.209872,0.581689,0.101981,-1.351026,0.524445,0.294222,1.493280,-0.199033,-0.214271,-0.704851,0.127194,0.504713,0.178644,0
r00013,-0.259945,0.577155,0.093890,0.252591,-0.955163,0.211425,-1.019485,-0.862930,0.164859,2.154686,1.019624,0.004232,-0.183162,1.010871,1.414742,1.248440,1
r00014,-0.190293,0.192991,-0.337477,-0.292157,-0.874059,-0.255253,-2.202138,-1.226834,0.435007,-0.947169,0.552809,-1.323066,-0.377606,0.404942,-1.061200,-0.730367,0
r00015,2.529463,-0.696895,-0.721771,-0.586558,0.034146,-0.027017,1.005976,0.810289,-0.412705,-0.364623,-1.447342,-1.530749,-0.755712,0.747699,0.122982,0.821018,0
r00016,0.962825,-0.168323,2.148143,-0.535191,-0.639353,-0.439277,1.162788,-0.139622,-0.756101,0.444010,1.157762,-0.114753,-0.258100,1.108822,1.005017,0.966439,1
r00017,-0.780917,0.289671,0.370593,-1.835576,1.229042,0.102194,-0.348407,2.313688,0.149530,-0.735843,-0.064317,0.576321,0.831003,-0.058444,-0.883073,-0.712385,0
r00018,-0.834915,-1.074645,-0.020561,-0.501108,0.055220,-0.843962,-0.885184,-0.189109,-0.356256,1.175824,-0.922818,0.210316,-0.041847,-1.336179,0.742887,0.173072,1
r00019,-2.142689,0.613559,0.957320,-0.813056,1.728714,0.158597,-1.176654,0.574316,-0.367388,-1.365888,-2.189000,0.250316,-0.750085,0.657336,0.395138,-0.530418,0
r00020,-0.541662,1.802996,1.740906,0.767089,-0.363127,-1.001147,-0.394552,1.696828,0.469763,-0.295331,-1.250548,0.170669,-0.896095,0.013052,0.756464,1.091251,1
r00021,0.142596,-0.348441,0.231732,1.836134,0.382798,-1.425617,1.580834,0.256017,3.545014,-0.477606,-0.095481,-0.301895,0.384637,-0.589075,-1.502655,-1.955856,0
r00022,-0.125724,-0.522858,-0.590061,2.157278,0.809176,1.109771,-0.508296,0.305209,-0.214458,-0.207577,0.759316,0.613945,0.309696,0.150523,-1.466177,-0.750024,0
r00023,0.387969,-0.371470,-0.790269,0.361790,-0.937332,-0.682972,0.896913,-0.364679,1.452079,0.530536,0.822394,1.148678,-2.195177,-0.080642,-1.310749,-0.470884,0
r00024,-0.105306,1.262294,-0.043871,1.665923,-0.532890,-0.057123,0.094146,0.958679,-0.052268,-0.626509,-0.333480,-1.420314,1.276967,0.757834,0.433883,0.279878,0
r00025,-0.613333,-0.411067,0.818950,-0.799359,-0.792901,1.598477,1.579414,0.295749,0.539582,0.189142,1.443774,-0.448720,0.083599,0.489677,1.457352,-0.252486,1
