id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
1,-6.4782,-6.0745,-7.5349,-7.0700,-5.5359,-5.5635,-7.8034,-8.5181,-6.2427,-6.7788,0
2,1.1092,-0.2218,-1.0475,-0.3185,-0.3775,-0.9748,0.1637,1.1785,0.5496,-0.7532,1
3,8.6919,7.4428,5.9051,10.3545,6.8756,7.5414,7.0909,8.0495,7.1862,4.2310,2
4,0.3422,0.0661,-0.1704,0.1869,1.2473,0.7325,0.3308,-1.4990,0.5075,1.1054,1
5,-6.2166,-8.0799,-6.1573,-7.7813,-5.5807,-7.3256,-7.0724,-7.5121,-5.5090,-5.3986,0
6,-4.8082,-6.8466,-8.1694,-9.4676,-5.3484,-7.4427,-7.5953,-7.3242,-7.6587,-6.3849,0
7,-7.1971,-6.4826,-7.0651,-6.9629,-4.7241,-4.7859,-8.3126,-7.1346,-6.7359,-8.3785,0
8,7.6663,6.8518,7.0292,6.7615,8.1381,5.6904,6.3038,7.6273,8.5401,5.8890,2
9,0.3124,0.4563,-0.1408,-0.8706,1.2423,2.0227,-0.5891,1.0045,0.7649,-0.9852,1
10,6.3236,4.7837,5.5498,5.9695,7.4493,7.0482,6.2868,9.0794,7.0345,6.9957,2
11,9.8799,5.7772,5.9556,7.9773,8.7170,5.8260,4.5257,7.9932,7.7647,4.5534,2
12,6.7004,7.0553,6.9633,8.2847,5.4576,5.7950,7.5967,7.3710,4.5950,3.5036,2
13,-6.5246,-6.4454,-7.3449,-7.9599,-7.2995,-5.9532,-6.3589,-8.0606,-5.4622,-5.7996,0
14,6.9627,5.9752,5.2688,8.2673,7.6903,7.4544,8.5349,7.6054,7.8077,6.3323,2
15,1.2425,0.4444,-1.0926,0.5215,2.7888,0.7033,-1.3358,-0.6975,-0.0696,-0.0952,1
16,-7.0408,-6.5398,-6.4704,-6.5685,-6.1519,-7.6231,-6.5997,-6.4592,-6.1859,-7.6833,0
17,0.4136,2.6093,0.3619,-0.7362,1.8517,1.8316,-2.4225,0.5146,1.8585,-2.1799,1
18,-7.1460,-8.2814,-7.0810,-8.2541,-5.1694,-6.6940,-9.5483,-6.9765,-7.2562,-7.3900,0
19,10.7894,7.7908,6.1319,7.4974,6.2889,6.8305,6.7367,7.2177,6.6283,6.4491,2
20,7.8033,6.8345,6.1824,9.0939,8.2502,5.7147,8.6673,8.1313,7.2570,7.0410,2
21,7.9977,8.1263,6.1052,7.6408,8.7665,8.8952,5.8079,9.2012,7.5553,7.3881,2
22,-0.0176,0.6304,0.6641,-0.7343,0.4423,0.9062,0.0088,-0.3217,1.8330,0.5641,1
23,-7.3622,-6.4147,-9.4033,-7.9903,-4.9731,-6.7868,-6.7436,-7.4694,-5.6684,-6.5348,0
24,-5.7514,-6.5053,-7.3062,-6.9845,-8.7945,-7.0220,-6.5038,-9.0331,-7.2304,-6.8340,0
25,-6.8669,-6.3449,-8.5365,-6.8886,-8.3767,-6.9492,-8.0406,-6.6810,-7.6787,-7.1191,0
26,0.5963,-1.5533,-0.3790,0.3120,1.9370,-1.1047,0.9294,-0.0551,-0.7807,-0.6566,1
27,-5.0879,-6.7340,-8.0399,-6.7675,-7.2348,-5.9801,-6.9935,-8.1507,-5.0003,-4.9410,0
28,-6.4957,-5.8035,-5.6819,-7.5745,-7.8408,-6.0962,-7.0672,-8.2032,-4.9456,-6.6617,0
29,-5.8641,-6.6815,-6.4095,-8.1791,-8.5132,-5.0262,-8.8564,-6.9452,-7.3157,-6.7755,0
30,0.6226,0.1254,-1.0972,1.3771,2.1927,-0.8655,-1.9746,1.8422,1.9023,-0.1212,1
31,6.1274,6.1389,6.5391,7.4337,6.7567,7.1151,6.1169,8.0970,9.0562,5.5654,2
32,-7.1422,-5.6126,-6.9009,-6.5062,-7.7579,-4.9996,-6.6210,-8.2211,-7.2352,-4.3349,0
33,1.7967,1.6632,-0.5389,-1.6203,0.4494,-0.9366,0.1292,-0.2352,-0.3753,-1.0892,1
34,8.1454,4.4856,6.7509,8.0811,7.7379,7.4156,7.5410,8.3084,6.4713,6.2654,2
35,-6.9673,-7.4691,-6.2844,-8.2352,-6.2933,-7.0675,-6.9744,-8.4643,-5.6460,-7.3203,0
36,1.7374,1.2107,-0.7832,-1.6007,1.4160,-0.0318,-1.7158,-0.1367,0.1436,-2.1613,1
37,0.6998,2.2954,-0.9541,0.5293,0.8421,-1.7506,0.3983,2.0760,0.5141,0.3999,1
38,7.0406,8.1316,5.3093,8.2010,6.1518,8.1760,7.4617,7.5538,8.9922,5.9725,2
39,-7.8467,-4.5544,-7.4594,-6.6759,-8.1897,-6.5295,-8.8245,-9.7591,-5.5886,-4.9392,0
40,-7.3593,-6.9811,-6.8677,-7.4325,-6.4236,-7.1365,-8.7232,-6.2475,-7.5508,-8.7741,0
41,0.3646,0.2829,-1.2792,1.0544,1.7978,0.6634,0.7778,0.5207,1.5296,-2.5446,1
42,-6.3661,-6.7680,-5.8790,-9.7321,-7.1555,-7.4823,-7.4649,-7.0178,-5.4546,-7.3901,0
43,2.0808,-0.2268,-1.4032,0.5566,2.4530,0.3248,-2.0449,0.3463,1.2942,1.4634,1
44,-6.8359,-4.1650,-5.5018,-8.0534,-7.6446,-7.6253,-8.3835,-8.6657,-6.1099,-5.8743,0
45,-0.5182,0.2364,-0.8495,-1.0607,1.2140,-0.5163,-1.4928,1.0443,0.1927,-0.0662,1
46,-6.9993,-7.5897,-7.1964,-7.2049,-6.3806,-7.3963,-6.2486,-5.5755,-7.3474,-8.9361,0
47,6.7269,6.5165,6.3038,6.0040,5.8525,4.6503,7.0149,6.4697,5.4498,5.7778,2
48,9.3642,6.9456,6.0363,5.2735,8.3014,6.0763,6.8654,5.9506,5.8846,5.7008,2
49,6.6499,8.2815,5.3815,7.3173,6.8588,5.8295,7.1896,8.4777,5.7434,7.0877,2
50,8.5100,7.2944,5.3530,7.2458,7.0307,6.4462,5.0662,6.1098,6.3563,6.3647,2
