step,c0,c1,c2,c3,c4,c5,c6,ambient
0,1.401464,1.977093,1.550751,1.948485,1.876595,1.485208,1.162978,-0.651358
1,1.081785,0.957563,1.145976,0.595789,1.101466,0.303454,0.687426,-0.007166
2,0.025439,1.221924,-0.255703,0.358479,0.116592,1.667355,-0.50756,-0.613922
3,1.307123,1.850134,1.362611,1.050535,2.475287,1.57086,1.900184,-0.091214
4,1.87633,2.553492,1.742444,2.453029,2.577635,1.533484,2.081972,-2.863849
5,1.316709,2.754891,2.278555,1.182555,2.465305,3.415252,2.271407,0.668864
6,-0.89887,-0.517686,-0.508189,-0.099341,0.916364,0.304132,0.511053,1.280937
7,-1.03864,-0.894046,-0.591217,-0.320414,-0.954533,0.112349,0.507168,-0.479856
8,0.375067,0.369407,0.527609,0.877866,1.133177,0.600275,0.370695,1.627567
9,0.175413,0.026557,0.553864,0.846071,0.655859,-0.703917,0.460413,-1.785859
10,-0.219764,0.328877,-1.18418,0.284399,0.973591,0.658992,-0.57916,-0.332375
11,0.688019,0.892745,1.039423,0.838216,0.225791,0.470544,1.215091,-0.252581
12,-0.0956,0.393831,-0.121684,0.12909,0.214951,0.254841,-0.770199,0.157933
13,0.449884,0.072548,1.306936,0.117174,1.624881,1.100548,1.624368,0.504561
14,-0.280907,0.119515,0.120163,0.30696,0.864125,0.472507,0.996439,-0.702317
15,0.185411,0.419497,-0.405502,0.09943,0.602187,1.347698,-0.125964,-0.355504
16,-1.056272,-0.803166,-0.027663,-0.430177,-0.41664,-1.429711,-0.153313,-1.367482
17,0.462323,0.790805,0.252102,0.575009,1.028144,0.729985,0.728755,-0.427064
18,1.523568,1.905006,1.697814,2.581992,1.16055,1.293326,1.048445,-1.567978
19,0.425981,-0.167887,0.930777,0.253931,0.72789,-0.155191,1.188611,0.250894
20,-0.46636,-0.338404,0.228963,-0.397279,-0.107114,0.143421,1.01143,-1.743843
21,2.421142,2.042605,1.404887,2.172421,2.190236,1.629336,0.956003,-0.230644
22,-0.203756,-0.246018,0.478417,0.259269,-0.022167,0.768025,1.047862,1.178941
23,0.761047,1.890391,0.232676,0.488707,1.235588,1.741249,1.061501,-0.052665
24,-0.759033,-0.432024,-0.473294,-0.24873,-0.583893,-0.159549,0.209593,0.552634
25,-2.10392,-1.67977,-1.683717,-1.525136,-0.181561,-1.32836,-2.077656,-0.360287
26,-0.300095,-1.276728,-0.579664,-0.198283,0.518708,-0.854346,-0.304838,-1.028041
27,1.397142,0.850236,0.842031,2.057632,0.983879,0.348881,0.824896,2.231531
