g,x,y
1.000000000000000000e+00,6.299402045896808078e-01,-4.351271228130006996e-01
3.000000000000000000e+00,9.274072585251670331e-01,6.228261909093752990e-01
2.000000000000000000e+00,2.319081886064188192e-01,7.579209814680446522e-01
1.000000000000000000e+00,7.991251286200828918e-01,1.291962717457656007e+00
3.000000000000000000e+00,5.181650368527142003e-01,-1.093107965546775695e+00
1.000000000000000000e+00,2.315556248170674847e-01,8.236421994902535237e-01
1.000000000000000000e+00,1.659039932407445628e-01,1.004181650577998575e+00
1.000000000000000000e+00,4.977889684977938600e-01,-9.955420683012355942e-01
2.000000000000000000e+00,5.827246406153199221e-01,-7.028497696864941524e-01
1.000000000000000000e+00,1.843379874284797326e-01,9.139284367334270520e-01
2.000000000000000000e+00,1.489491676023224631e-02,5.240953215526630848e-02
3.000000000000000000e+00,4.711332288904608312e-01,-1.092542678905587206e+00
2.000000000000000000e+00,7.282433281832616512e-01,3.250874311029221531e-01
3.000000000000000000e+00,9.186004917735433040e-01,7.265484408202239619e-01
2.000000000000000000e+00,6.255340057354640271e-01,-2.303723728367253476e-01
1.000000000000000000e+00,9.171225725476023216e-01,6.225993371925596653e-01
3.000000000000000000e+00,8.646902510937748421e-01,8.728550811345797689e-01
3.000000000000000000e+00,2.181428732499879342e-01,8.371317360159264975e-01
3.000000000000000000e+00,8.661274307382429427e-01,8.835187458201518851e-01
3.000000000000000000e+00,7.307519363712537963e-01,3.524901338682083218e-01
1.000000000000000000e+00,2.778652902989278140e-01,7.040517491200025679e-01
2.000000000000000000e+00,7.970435531834645371e-01,1.007928035309872294e+00
1.000000000000000000e+00,8.652217128437365012e-01,8.484222494826757499e-01
1.000000000000000000e+00,2.994378956374572631e-01,3.586268191393200411e-01
1.000000000000000000e+00,5.270420840302969534e-01,-1.033465770149124552e+00
3.000000000000000000e+00,7.148680662339690350e-02,5.921732040858563861e-01
3.000000000000000000e+00,5.832384101510580399e-01,-6.531445222748228918e-01
1.000000000000000000e+00,2.379063996296175709e-01,9.258845800238280077e-01
2.000000000000000000e+00,7.649636461036484203e-01,1.027407510517017730e+00
3.000000000000000000e+00,1.736316361754025595e-01,1.253432670056491061e+00
