station	year	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12
A01	1998	70.44	5.37	5.16	159.09	23.65	50.62	16.28	37.33	83.68	61.72	19.67	45.95
A01	1999	87.17	20.30	11.99	28.05	49.28	21.93	150.10	58.55	86.98	6.62	32.90	58.97
A01	2000	48.69	47.76	6.59	48.40	25.63	64.48	25.95	52.52	81.36	26.40	28.00	77.16
A01	2001	20.89	32.30	26.10	17.77	34.91	38.74	39.77	101.23	19.17	8.14	24.91	67.60
A01	2002	101.61	67.55	48.65	12.32	16.20	3.11	31.68	29.01	30.64	59.65	61.55	18.84
A01	2003	22.23	8.16	109.91	41.51	42.25	11.72	79.74	35.20	60.51	82.36	102.03	57.19
A01	2004	48.44	34.67	3.43	10.10	11.27	11.30	79.98	29.45	21.24	76.99	43.48	5.08
A01	2005	59.82	13.40	37.80	10.24	60.68	10.58	116.02	65.33	90.04	74.24	83.23	33.02
B22	1998	140.11	63.34	30.85	38.96	14.78	24.06	1.50	38.17	52.94	25.21	60.18	81.47
B22	1999	32.25	13.19	13.19	24.30	126.23	2.11	15.58	64.06	68.59	25.90	22.97	23.00
B22	2000	48.62	87.48	93.72	29.96	17.51	58.32	20.69	26.50	19.96	15.50	62.14	190.15
B22	2001	42.81	40.25	141.84	46.06	18.72	24.95	24.69	109.96	131.23	61.95	7.31	6.48
B22	2002	135.81	56.21	27.16	172.20	22.94	23.30	80.44	152.08	42.24	5.72	30.47	20.26
B22	2003	43.30	13.68	23.69	87.96	17.13	19.21	83.06	32.09	15.58	15.09	74.75	35.37
B22	2004	8.70	54.31	96.24	21.53	120.35	68.21	53.85	15.41	73.67	23.91	17.21	41.68
B22	2005	11.88	62.40	22.90	46.14	8.75	36.84	105.71	118.82	22.22	147.32	99.67	51.26
C33	1998	41.12	110.96	52.87	39.95	11.01	29.75	125.52	29.03	33.84	22.90	59.89	118.50
C33	1999	30.40	67.71	42.61	37.46	124.56	6.83	97.14	9.40	18.46	36.29	40.91	27.68
C33	2000	15.89	6.33	42.43	73.43	15.12	22.16	51.68	58.84	60.43	19.32	29.32	101.82
C33	2001	70.48	50.17	46.71	9.78	51.90	23.37	39.45	6.52	143.08	142.60	128.16	48.01
C33	2002	19.30	23.27	30.42	6.50	53.54	32.67	47.18	58.01	22.26	73.42	45.64	68.37
C33	2003	14.23	51.26	31.28	24.97	41.45	29.86	49.69	69.16	16.96	81.04	181.68	25.59
C33	2004	55.90	61.88	52.05	143.11	43.41	86.41	16.89	45.08	55.35	113.59	73.36	20.34
C33	2005	125.23	35.28	83.23	40.96	18.18	86.79	35.53	11.40	17.93	24.58	65.32	73.35
D25	1998	50.00	41.05	68.62	40.68	36.03	17.18	59.35	14.74	10.98	27.08	165.64	32.13
D25	1999	72.46	56.72	158.79	92.72	74.71	24.78	141.71	28.56	52.13	10.92	43.84	41.81
D25	2000	44.08	16.82	129.34	20.98	203.00	38.35	62.14	20.87	41.05	15.74	92.57	32.14
D25	2001	33.63	49.13	46.65	60.65	84.17	34.46	53.00	42.38	42.28	45.35	37.83	20.19
D25	2002	30.50	32.12	43.11	59.94	5.00	6.68	62.21	2.69	7.92	61.03	8.13	55.11
D25	2004	63.29	86.74	107.09	23.26	14.30	152.24	118.10	29.20	60.81	12.19	76.35	17.43
D25	2005	127.06	5.97	59.08	33.36	52.61	22.86	84.72	64.63	62.85	20.14	21.84	74.01
