p0,p1,p2,p3,p4,p5,p6,p7
100.0082,99.8249,99.7675,99.5707,101.6901,100.6963,100.9369,99.3923
99.3495,100.7553,100.5357,98.2643,100.6150,99.3545,100.9207,98.6300
101.1558,99.4505,103.3523,99.0564,102.3639,100.1075,101.3919,100.0873
102.1610,99.2131,103.1673,99.8758,101.2993,98.2926,101.8769,99.2863
99.9698,98.4023,102.7531,98.6051,99.6467,98.4927,103.1363,99.1670
99.5850,99.3562,104.1588,98.7504,100.8036,100.2250,103.4035,98.7021
100.0158,99.6666,105.5483,97.2434,100.0188,99.2324,101.2678,98.8670
100.9188,99.0516,107.5877,98.4645,101.0413,99.9781,102.7020,97.5531
101.1782,99.2929,104.7894,98.4023,100.2530,100.4362,101.6683,97.0639
101.7386,98.3903,105.6914,98.4185,100.9883,99.9503,103.1383,97.9071
101.4178,99.0364,107.1817,100.4338,98.9786,100.9079,103.6090,97.6972
100.4604,100.7919,105.8418,101.3823,100.7862,99.2373,103.5064,96.4203
100.8914,102.7608,108.5560,99.3570,100.2281,100.2102,105.6090,97.0389
99.4931,102.6231,108.0018,98.6267,98.8530,100.1843,105.4811,96.4545
98.5547,100.3458,106.6404,99.3867,97.9576,97.7751,106.4560,96.4152
100.7104,100.0775,105.6848,97.3199,99.1783,100.4551,105.0427,95.3363
101.7918,99.4389,105.7204,97.2601,99.7622,102.1348,105.4470,96.7293
101.5165,100.0622,103.2546,95.7949,100.9479,101.6500,106.4269,97.5846
103.3553,101.2618,104.7466,95.8817,100.3288,100.9859,106.0427,96.4808
101.9069,100.3955,104.2831,94.7779,97.2658,100.1465,105.5400,97.0181
101.5817,98.6035,102.3214,96.1049,97.1641,101.3334,107.1682,95.0832
101.8618,98.9618,102.8177,96.5506,97.2184,101.3561,105.0361,94.7172
100.8764,99.0420,102.1686,97.1995,98.1057,101.6604,105.3608,94.7563
100.1541,98.6695,101.3784,97.4783,97.9470,102.1879,103.4927,95.5965
99.4422,98.0018,101.3454,97.0186,98.4894,101.6927,102.3761,94.8216
101.0018,98.0479,99.9194,97.0225,96.6446,103.8704,100.4971,95.3606
101.2445,95.9378,99.8677,97.7836,96.7885,103.7677,101.2275,95.1518
101.3598,95.5139,100.3354,96.3956,97.4276,102.8378,99.6093,95.2931
103.5398,96.7301,99.8342,97.3180,97.0128,102.8073,99.8351,92.7569
103.8721,95.6229,99.0895,95.6848,95.3355,101.7372,100.9150,94.6957
103.8740,96.9064,98.8074,93.5201,95.5376,102.3139,100.4283,95.0695
105.5938,96.8410,98.0134,94.1776,96.2210,102.8719,102.5908,97.9590
105.0199,97.6110,99.0775,94.9426,97.3887,102.3466,103.4569,100.2962
106.1478,96.9918,99.9085,96.4848,97.9265,101.7668,105.4860,98.9019
106.4312,96.6461,98.1406,97.5715,98.0053,99.9989,105.8921,98.0563
103.9133,95.7675,98.3701,98.2354,98.1192,99.9707,106.4020,97.7272
105.6623,96.1976,98.9835,99.1389,97.1402,99.3905,108.6419,98.3851
105.6081,96.8687,98.6963,99.7557,96.6435,100.0058,106.8977,100.2395
104.9557,95.0285,98.4291,99.3094,96.8182,98.6293,107.4053,104.5961
103.5748,95.6215,98.2773,99.7561,94.9249,97.4827,108.2326,104.7766
105.6929,94.8918,98.5643,103.3258,94.1313,96.5059,108.2764,104.8072
106.0320,94.3826,96.9871,102.8728,96.4604,97.3108,103.9121,103.9032
103.5934,93.9078,95.5733,103.9730,96.3327,97.1344,102.8461,102.5544
105.0361,96.2919,97.1271,104.5585,98.7551,98.3146,103.7628,102.5901
104.7349,95.9348,94.2536,106.2446,99.8139,98.4476,105.4723,103.5318
105.2409,93.1216,94.0252,106.9627,101.7791,100.6583,107.3163,102.1273
101.7970,93.1675,93.4591,107.5188,100.9789,100.2844,104.7029,102.0276
100.7952,93.1394,93.5536,106.8835,100.9082,99.8165,105.1855,102.1826
100.7405,93.0433,96.0747,107.3970,102.7170,100.8890,105.1070,101.8797
99.8227,92.3480,95.7692,104.6309,100.9000,99.7095,106.0169,97.9191
100.2790,91.6852,96.1982,103.9402,101.2711,101.5121,106.3935,98.3601
101.1363,91.2332,97.2169,104.1038,100.6972,101.8787,106.5368,99.6502
101.2029,90.7606,99.0295,105.4607,102.3496,102.7411,106.5215,99.2659
101.2299,92.1212,99.5209,103.9658,102.6721,101.3670,107.1191,98.1912
99.7022,92.2592,99.4350,101.9004,103.6016,104.0058,105.2229,100.3429
99.8936,92.6508,100.2331,101.1698,106.2707,105.6789,105.3446,101.0301
97.7251,91.9388,101.0072,98.7321,105.3412,105.4939,106.2997,102.3112
96.7150,90.6762,101.0633,97.8229,104.4385,106.3498,107.9397,102.1415
96.6562,91.4518,98.9459,97.9676,103.2867,109.5798,109.0559,102.4882
97.0414,89.2697,100.4174,100.5021,103.0360,111.1708,110.6905,101.2318
98.1676,90.7546,100.7305,100.4638,104.0490,109.1572,110.8561,102.5507
97.1749,92.2708,100.7081,98.4370,104.4160,108.4076,111.8124,101.6001
98.2515,91.3121,100.9853,97.5854,103.8523,109.7929,111.9310,100.9637
96.3691,92.2050,101.4552,96.7989,103.7255,107.9817,110.1043,99.5446
97.3753,93.1040,101.1768,98.2561,105.3453,108.8752,112.1589,99.8185
97.9127,94.2724,101.8310,99.8676,104.4860,111.4865,111.8785,100.3075
96.9533,95.5861,104.0732,101.8235,106.2343,110.1539,111.5816,100.4260
95.7540,96.7636,104.1836,101.6762,106.7334,108.7690,110.2367,99.2479
95.9408,96.7712,104.4874,102.5831,104.5658,107.6000,109.9886,97.2426
94.9369,97.5542,105.4439,103.4903,104.1934,106.8876,110.9650,96.4112
95.2939,99.0765,104.9474,102.7012,104.1506,107.6232,111.5742,96.5628
96.2094,97.4650,104.1727,103.2032,103.2950,106.2058,110.2839,95.7817
96.2570,96.5259,104.7410,105.5760,103.3844,108.1104,110.9564,94.7472
95.4663,94.8927,105.1681,103.5727,104.4941,108.3050,107.6937,95.1522
97.3772,94.1236,106.5567,101.4806,104.9545,106.2953,108.4658,93.2420
94.3660,94.6341,109.5537,100.8233,106.0705,106.5079,108.1175,93.9931
96.3165,93.3224,110.4002,101.3377,104.3594,108.6739,110.7505,93.0088
98.3738,93.4324,110.2397,103.2171,104.6969,109.1503,112.8234,94.4935
99.4077,91.8427,108.1368,104.5905,103.5109,109.3221,111.3458,94.2656
98.1779,93.9124,107.1361,104.7484,103.5849,111.2294,109.7797,94.5082
98.0401,94.6136,107.8616,104.2815,103.9974,110.8525,110.5179,94.4965
97.4161,94.7244,108.4944,107.2735,103.5405,111.4269,112.6242,92.2818
95.1678,93.1684,108.1110,110.1824,103.8028,112.8012,112.0805,89.3539
92.7333,94.5106,108.5868,108.7061,105.4212,110.9643,113.8507,91.1052
91.8929,93.2648,109.6996,107.2899,106.5237,109.3856,114.9672,91.2183
90.6934,91.5292,109.1500,104.0098,105.3336,108.0057,114.9993,89.1289
92.7880,91.4190,107.9359,106.0034,107.7025,108.0361,114.0611,89.3719
91.9768,91.0349,109.9050,106.4534,107.8412,108.4353,113.9294,90.2336
93.3433,91.0229,110.5168,109.9949,108.8511,108.6603,117.2222,90.6323
92.1097,91.7553,109.3181,109.3333,109.2720,108.4897,116.1425,90.0287
91.4738,93.0593,108.3960,108.6063,111.9686,107.7923,118.2436,91.4697
91.4385,91.6089,109.1421,109.6401,113.4309,108.0413,120.1238,93.1281
90.3321,93.2309,109.4310,108.9563,113.0599,110.5352,121.6086,91.1802
90.3152,92.9637,109.0704,108.1560,110.9498,111.5469,120.0929,90.6671
89.0688,91.5408,109.3263,107.9432,109.3230,109.5490,118.6271,91.1232
89.9133,92.5265,109.7672,108.4696,110.4785,107.9988,121.8674,90.9883
88.7862,93.4838,109.4329,107.9044,109.0737,105.3584,121.4414,91.7733
87.7597,94.9409,107.8689,106.8713,109.6523,105.2777,122.3552,90.8862
86.9551,93.1188,106.6573,105.8346,108.1269,106.0056,121.7735,89.0097
89.7308,92.3833,105.2765,107.6335,109.8684,104.7658,119.8778,88.1302
91.2045,92.3033,104.5569,107.9057,111.7712,103.3194,119.6696,86.9199
93.9171,94.6568,106.1347,108.1297,113.0662,101.0932,120.5066,85.8458
92.9551,94.3914,106.2887,109.4861,114.6561,101.9834,119.8223,87.0275
92.9865,95.8971,105.3091,106.0515,114.2054,104.7985,120.7110,86.9803
95.1094,97.6487,107.1797,106.6946,115.7061,106.3329,121.2559,86.8761
94.9396,98.4462,107.6421,106.9586,116.0067,109.2628,121.2153,87.6624
97.3125,98.6575,108.1462,108.4601,118.5312,109.8383,121.9263,87.8902
95.8226,99.8975,107.7274,106.1316,118.2262,107.4693,120.3535,87.8384
94.6168,101.0287,105.6644,106.3066,118.8399,109.1919,121.5064,87.9538
94.8830,101.1447,107.3041,105.6662,119.8039,109.2727,122.0840,87.8412
97.9361,101.0104,108.3341,106.7097,121.4648,110.5811,123.5082,89.4535
95.9617,100.8104,106.5032,106.7838,119.4864,109.0756,123.1599,90.7654
96.4258,100.9584,108.0741,105.3496,116.2373,108.2933,122.4920,91.9211
99.2538,99.7168,111.6825,107.7131,117.8327,109.1683,126.5068,92.3467
98.9816,100.1767,110.1762,108.6403,118.0243,109.9227,127.4261,91.4453
101.3963,99.8184,112.2981,107.4976,119.5659,109.7869,128.5880,91.5176
99.2355,98.9713,112.9400,108.8285,118.0432,107.5246,127.8717,91.7335
98.6504,98.1783,114.2852,110.2753,119.2950,106.4975,128.2065,91.6765
96.9081,99.1657,114.3450,109.5749,121.2607,107.4169,129.4551,92.9478
97.9023,97.8231,113.9993,111.0739,120.3408,107.6407,130.2850,94.7078
99.4353,98.8848,113.7523,112.3010,121.1115,107.4387,132.4160,95.2757
98.0659,99.9223,112.8689,112.5724,118.3257,106.9073,130.2879,93.7139
