wavelength_nm,intensity
400,0.000644
405,0.001204
410,0.002187
415,0.003866
420,0.006645
425,0.011109
430,0.018063
435,0.028566
440,0.043937
445,0.065729
450,0.095634
455,0.135335
460,0.186270
465,0.249352
470,0.324652
475,0.411112
485,0.606531
490,0.706648
490,0.706648
495,0.800737
500,0.882497
505,0.945959
510,0.986207
515,1.000000
520,0.986207
525,0.945959
530,0.882497
535,0.800737
540,0.706648
545,0.606531
550,0.506336
555,0.411112
560,0.324652
565,0.249352
570,0.186270
575,0.135335
580,0.095634
585,0.065729
590,0.043937
595,0.028566
600,0.018063
605,0.011109
610,0.006645
615,0.003866
620,0.002187
625,0.001204
630,0.000644
635,0.000335
640,0.000170
645,0.000084
650,0.000040
655,0.000019
660,0.000008
665,0.000004
670,0.000002
675,0.000001
680,0.000000
685,0.000000
690,0.000000
695,0.000000
700,0.000000
