wavelength_nm,intensity
400,0.043937
405,0.065729
410,0.095634
415,0.135335
420,0.186270
425,0.249352
430,0.324652
435,0.411112
440,0.506336
445,0.606531
450,0.706648
455,0.800737
460,0.882497
465,0.945959
470,0.986207
475,1.000000
480,0.986207
485,0.945959
490,0.882497
495,0.800737
500,0.706648
505,0.606531
510,0.506336
515,0.411112
520,0.324652
525,0.249352
530,0.186270
535,0.135335
540,0.095634
545,0.065729
550,0.043937
555,0.028566
560,0.018063
565,0.011109
570,0.006645
575,0.003866
580,0.002187
585,0.001204
590,0.000644
595,0.000335
600,0.000170
605,0.000084
610,0.000040
615,0.000019
620,0.000008
625,0.000004
630,0.000002
635,0.000001
640,0.000000
645,0.000000
650,0.000000
655,0.000000
660,0.000000
665,0.000000
670,0.000000
675,0.000000
680,0.000000
685,0.000000
690,0.000000
695,0.000000
700,0.000000
