wavelength_nm,intensity
400,0.000000
405,0.000000
410,0.000000
415,0.000000
420,0.000000
425,0.000000
430,0.000000
435,0.000000
440,0.000000
445,0.000000
450,0.000001
455,0.000002
460,0.000004
465,0.000008
470,0.000019
475,0.000040
480,0.000084
485,0.000170
490,0.000335
495,0.000644
500,0.001204
505,0.002187
510,0.003866
515,0.006645
520,0.011109
525,0.018063
530,0.028566
535,0.043937
540,0.065729
545,0.095634
550,0.135335
555,0.186270
560,0.249352
565,0.324652
570,0.411112
575,0.506336
580,0.606531
585,0.706648
590,0.800737
595,0.882497
600,0.945959
605,0.986207
610,1.000000
615,0.986207
620,0.945959
625,0.882497
630,0.800737
635,0.706648
640,0.606531
645,0.506336
650,0.411112
655,0.324652
660,0.249352
665,0.186270
670,0.135335
675,0.095634
680,0.065729
685,0.043937
690,0.028566
695,0.018063
700,0.011109
