wavelength_nm,intensity
400,0.013538
405,0.021770
410,0.034047
415,0.051790
420,0.076621
425,0.110251
430,0.154295
435,0.210019
440,0.278037
445,0.358000
450,0.448332
455,0.546074
460,0.646905
465,0.745359
470,0.835270
475,0.910384
480,0.965069
485,0.995012
490,0.997780
495,0.973145
500,0.923116
505,0.851671
510,0.764228
515,0.666977
520,0.566154
525,0.467407
530,0.375311
535,0.293106
540,0.222635
545,0.164474
550,0.118179
555,0.082588
560,0.056135
565,0.037109
570,0.023860
575,0.014921
580,0.009075
585,0.005368
590,0.003089
595,0.001728
600,0.000941
605,0.000498
610,0.000256
615,0.000128
620,0.000063
625,0.000030
630,0.000014
635,0.000006
640,0.000003
645,0.000001
650,0.000000
655,0.000000
660,0.000000
665,0.000000
670,0.000000
675,0.000000
680,0.000000
685,0.000000
690,0.000000
695,0.000000
700,0.000000
