x,y
3.000000000000000000e+02,8.551753354203635027e+00
3.010000000000000000e+02,8.603598848371662555e+00
3.020000000000000000e+02,8.656179466549168922e+00
3.030000000000000000e+02,8.709509164046181695e+00
3.040000000000000000e+02,8.763602227922993038e+00
3.050000000000000000e+02,8.818473286463616390e+00
3.060000000000000000e+02,8.874137318965077625e+00
3.070000000000000000e+02,8.930609665854598589e+00
3.080000000000000000e+02,8.987906039147144810e+00
3.090000000000000000e+02,9.046042533256533957e+00
3.100000000000000000e+02,9.105035636173704816e+00
3.110000000000000000e+02,9.164902241026400276e+00
3.120000000000000000e+02,9.225659658035194610e+00
3.130000000000000000e+02,9.287325626881335339e+00
3.140000000000000000e+02,9.349918329502662218e+00
3.150000000000000000e+02,9.413456403334514278e+00
3.160000000000000000e+02,9.477958955013328080e+00
3.170000000000000000e+02,9.543445574561397748e+00
3.180000000000000000e+02,9.609936350072105782e+00
3.190000000000000000e+02,9.677451882915823589e+00
3.200000000000000000e+02,9.746013303487551127e+00
3.210000000000000000e+02,9.815642287518391740e+00
3.220000000000000000e+02,9.886361072973880226e+00
3.230000000000000000e+02,9.958192477563363454e+00
3.240000000000000000e+02,1.003115991688559561e+01
3.250000000000000000e+02,1.010528742323705309e+01
3.260000000000000000e+02,1.018059966511055592e+01
3.270000000000000000e+02,1.025712196741318394e+01
3.280000000000000000e+02,1.033488033243379256e+01
3.290000000000000000e+02,1.041390146159186259e+01
3.300000000000000000e+02,1.049421277800098551e+01
3.310000000000000000e+02,1.057584244988179023e+01
3.320000000000000000e+02,1.065881941486092366e+01
3.330000000000000000e+02,1.074317340519425379e+01
3.340000000000000000e+02,1.082893497395462035e+01
3.350000000000000000e+02,1.091613552222609407e+01
3.360000000000000000e+02,1.100480732734903988e+01
3.370000000000000000e+02,1.109498357226231846e+01
3.380000000000000000e+02,1.118669837599126815e+01
3.390000000000000000e+02,1.127998682533260322e+01
3.400000000000000000e+02,1.137488500778983180e+01
3.410000000000000000e+02,1.147143004581561421e+01
3.420000000000000000e+02,1.156966013242019109e+01
3.430000000000000000e+02,1.166961456820815890e+01
3.440000000000000000e+02,1.177133379990896067e+01
3.450000000000000000e+02,1.187485946046989937e+01
3.460000000000000000e+02,1.198023441078394313e+01
3.470000000000000000e+02,1.208750278312843918e+01
3.480000000000000000e+02,1.219671002639478807e+01
