wavelength nm; relative intensity
480,00000; 0,05000
480,20025; 0,05000
480,40050; 0,05001
480,60075; 0,05001
480,80100; 0,05001
481,00125; 0,05001
481,20150; 0,05002
481,40175; 0,05002
481,60200; 0,05003
481,80225; 0,05003
482,00250; 0,05004
482,20275; 0,05005
482,40300; 0,05006
482,60325; 0,05008
482,80350; 0,05010
483,00375; 0,05012
483,20401; 0,05015
483,40426; 0,05018
483,60451; 0,05022
483,80476; 0,05028
484,00501; 0,05034
484,20526; 0,05041
484,40551; 0,05050
484,60576; 0,05061
484,80601; 0,05074
485,00626; 0,05089
485,20651; 0,05107
485,40676; 0,05129
485,60701; 0,05154
485,80726; 0,05185
486,00751; 0,05220
486,20776; 0,05262
486,40801; 0,05311
486,60826; 0,05368
486,80851; 0,05435
487,00876; 0,05512
487,20901; 0,05602
487,40926; 0,05706
487,60951; 0,05825
487,80976; 0,05962
488,01001; 0,06119
488,21026; 0,06299
488,41051; 0,06503
488,61076; 0,06736
488,81101; 0,06999
489,01126; 0,07297
489,21151; 0,07633
489,41176; 0,08009
489,61202; 0,08431
489,81227; 0,08903
490,01252; 0,09428
490,21277; 0,10011
490,41302; 0,10657
490,61327; 0,11371
490,81352; 0,12156
491,01377; 0,13018
491,21402; 0,13961
491,41427; 0,14990
491,61452; 0,16109
491,81477; 0,17323
492,01502; 0,18635
492,21527; 0,20050
492,41552; 0,21569
492,61577; 0,23196
492,81602; 0,24933
493,01627; 0,26781
493,21652; 0,28741
493,41677; 0,30812
493,61702; 0,32993
493,81727; 0,35284
494,01752; 0,37679
494,21777; 0,40176
494,41802; 0,42768
494,61827; 0,45450
494,81852; 0,48215
495,01877; 0,51052
495,21902; 0,53953
495,41927; 0,56907
495,61952; 0,59901
495,81977; 0,62922
496,02003; 0,65957
496,22028; 0,68990
496,42053; 0,72006
496,62078; 0,74988
496,82103; 0,77920
497,02128; 0,80785
497,22153; 0,83565
497,42178; 0,86243
497,62203; 0,88802
497,82228; 0,91226
498,02253; 0,93497
498,22278; 0,95601
498,42303; 0,97523
498,62328; 0,99249
498,82353; 1,00767
499,02378; 1,02066
499,22403; 1,03136
499,42428; 1,03970
499,62453; 1,04560
499,82478; 1,04904
500,02503; 1,04998
500,22528; 1,04842
500,42553; 1,04436
500,62578; 1,03784
500,82603; 1,02890
501,02628; 1,01762
501,22653; 1,00408
501,42678; 0,98837
