order_id,status,amount
ord-0000,OK,316.17
ord-0001,OK,349.72
ord-0002,OK,245.76
ord-0003,REFUNDED,38.94
ord-0004,CANCELLED,220.95
ord-0005,OK,376.42
ord-0006,OK,250.63
ord-0007,OK,389.01
ord-0008,OK,40.85
ord-0009,CANCELLED,61.67
ord-0010,CANCELLED,46.91
ord-0011,OK,194.07
ord-0012,CANCELLED,383.44
ord-0013,CANCELLED,115.09
ord-0014,OK,301.27
ord-0015,OK,271.73
ord-0016,REFUNDED,209.09
ord-0017,REFUNDED,91.26
ord-0018,CANCELLED,98.39
ord-0019,OK,382.68
ord-0020,OK,282.71
ord-0021,OK,226.00
ord-0022,OK,242.42
ord-0023,OK,292.37
ord-0024,OK,86.41
ord-0025,CANCELLED,152.58
ord-0026,REFUNDED,99.32
ord-0027,CANCELLED,67.97
ord-0028,REFUNDED,134.35
ord-0029,OK,290.06
ord-0030,OK,219.62
ord-0031,OK,335.64
ord-0032,OK,277.33
ord-0033,OK,216.37
ord-0034,REFUNDED,64.84
ord-0035,OK,42.58
ord-0036,OK,189.42
ord-0037,OK,47.22
ord-0038,REFUNDED,89.77
ord-0039,CANCELLED,254.29
ord-0040,OK,173.10
ord-0041,OK,217.89
ord-0042,CANCELLED,240.78
ord-0043,OK,121.54
ord-0044,OK,101.09
ord-0045,CANCELLED,170.27
ord-0046,OK,380.63
ord-0047,OK,167.93
ord-0048,OK,238.32
ord-0049,REFUNDED,248.13
ord-0050,REFUNDED,177.83
ord-0051,REFUNDED,243.03
ord-0052,REFUNDED,294.29
ord-0053,OK,274.64
ord-0054,CANCELLED,228.70
ord-0055,OK,65.90
ord-0056,OK,313.23
ord-0057,REFUNDED,100.96
ord-0058,OK,51.42
ord-0059,OK,359.74
ord-0060,REFUNDED,67.49
ord-0061,OK,74.89
ord-0062,CANCELLED,121.69
ord-0063,CANCELLED,156.16
ord-0064,OK,184.74
ord-0065,CANCELLED,315.33
ord-0066,OK,261.22
ord-0067,CANCELLED,293.07
ord-0068,CANCELLED,60.99
ord-0069,REFUNDED,89.98
ord-0070,OK,262.54
ord-0071,OK,180.93
ord-0072,OK,233.44
ord-0073,OK,248.49
ord-0074,OK,304.67
ord-0075,OK,113.95
ord-0076,OK,90.33
ord-0077,OK,259.47
ord-0078,OK,90.53
ord-0079,OK,304.58
ord-0080,OK,232.07
ord-0081,OK,166.12
ord-0082,REFUNDED,360.15
ord-0083,CANCELLED,341.26
ord-0084,OK,85.50
ord-0085,OK,82.29
ord-0086,OK,294.56
ord-0087,OK,102.48
ord-0088,OK,189.59
ord-0089,OK,380.02
ord-0090,OK,209.26
ord-0091,REFUNDED,181.90
ord-0092,REFUNDED,391.79
ord-0093,OK,389.28
ord-0094,CANCELLED,123.29
ord-0095,REFUNDED,259.46
ord-0096,OK,113.90
ord-0097,CANCELLED,225.56
ord-0098,REFUNDED,118.09
ord-0099,CANCELLED,330.15
ord-0100,REFUNDED,341.74
ord-0101,OK,153.19
ord-0102,REFUNDED,251.69
ord-0103,OK,233.83
ord-0104,OK,314.33
ord-0105,OK,393.76
ord-0106,OK,152.59
ord-0107,OK,55.12
ord-0108,REFUNDED,52.04
ord-0109,REFUNDED,384.13
ord-0110,REFUNDED,228.56
ord-0111,REFUNDED,125.18
ord-0112,OK,369.56
ord-0113,OK,58.11
ord-0114,OK,61.06
ord-0115,OK,187.31
ord-0116,CANCELLED,131.47
ord-0117,OK,381.62
ord-0118,OK,386.37
ord-0119,OK,177.52
ord-0120,OK,79.92
ord-0121,CANCELLED,244.71
ord-0122,REFUNDED,68.11
ord-0123,CANCELLED,355.68
ord-0124,OK,190.45
ord-0125,REFUNDED,186.47
ord-0126,OK,257.10
ord-0127,REFUNDED,36.84
ord-0128,REFUNDED,390.41
ord-0129,OK,387.66
ord-0130,OK,86.42
ord-0131,OK,78.70
ord-0132,REFUNDED,386.47
ord-0133,OK,313.26
ord-0134,OK,176.54
ord-0135,CANCELLED,87.27
ord-0136,CANCELLED,162.30
ord-0137,CANCELLED,76.34
ord-0138,OK,158.08
ord-0139,OK,40.38
ord-0140,REFUNDED,339.53
ord-0141,OK,315.65
ord-0142,OK,108.03
ord-0143,OK,279.63
ord-0144,OK,292.47
ord-0145,OK,45.72
ord-0146,CANCELLED,233.99
ord-0147,OK,381.08
ord-0148,OK,315.97
ord-0149,OK,22.52
ord-0150,OK,145.48
ord-0151,REFUNDED,212.27
ord-0152,OK,282.16
ord-0153,OK,392.54
ord-0154,CANCELLED,322.83
ord-0155,REFUNDED,241.15
ord-0156,CANCELLED,349.95
ord-0157,REFUNDED,167.56
ord-0158,OK,263.94
ord-0159,OK,298.96
ord-0160,OK,107.76
ord-0161,OK,22.52
ord-0162,OK,329.49
ord-0163,CANCELLED,363.54
ord-0164,CANCELLED,81.01
ord-0165,CANCELLED,100.26
ord-0166,OK,193.07
ord-0167,CANCELLED,292.98
ord-0168,REFUNDED,184.32
ord-0169,REFUNDED,220.45
ord-0170,CANCELLED,20.99
ord-0171,CANCELLED,62.14
ord-0172,REFUNDED,217.95
ord-0173,CANCELLED,211.04
ord-0174,OK,200.86
ord-0175,OK,42.29
ord-0176,REFUNDED,345.88
ord-0177,CANCELLED,199.39
ord-0178,OK,204.49
ord-0179,OK,218.34
ord-0180,OK,312.04
ord-0181,OK,81.99
ord-0182,OK,346.44
ord-0183,OK,128.55
ord-0184,REFUNDED,176.01
ord-0185,REFUNDED,98.53
ord-0186,OK,241.11
ord-0187,OK,399.06
ord-0188,OK,287.93
ord-0189,OK,186.37
ord-0190,OK,308.47
ord-0191,OK,378.84
ord-0192,OK,236.99
ord-0193,OK,293.23
ord-0194,OK,340.62
ord-0195,OK,47.01
ord-0196,CANCELLED,370.80
ord-0197,OK,150.92
ord-0198,REFUNDED,145.05
ord-0199,OK,86.83
